condition,objective,rung_id,candidate_id,order,r2,shannon_h,n_domains,dominant_domain
Pooled,o_min,xgb_tree_d3,m048530_o_min_ord4_rk00016,4,0.26727931442597974,2.0,4,Air Pollution
Pooled,o_min,xgb_tree_d3,m049520_o_min_ord5_rk00006,5,0.2667933693927603,1.9219280948873623,4,Air Pollution
Pooled,o_min,xgb_tree_d3,m049529_o_min_ord5_rk00015,5,0.2636044521958609,1.3709505944546687,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m066519_o_min_ord22_rk00005,22,0.26236076551081866,2.9151512344992474,9,Temperature
Pooled,o_min,xgb_tree_d3,m049524_o_min_ord5_rk00010,5,0.2612380474803312,1.9219280948873623,4,Air Pollution
Pooled,o_min,xgb_tree_d3,m066523_o_min_ord22_rk00009,22,0.2611706496044861,2.8045965297024473,9,Democracy
Pooled,o_min,xgb_tree_d3,m062529_o_min_ord18_rk00015,18,0.26095708563409026,2.858278308418045,9,Democracy
Pooled,o_min,xgb_tree_d3,m062532_o_min_ord18_rk00018,18,0.2607507845147454,2.858278308418045,9,Democracy
Pooled,o_min,xgb_tree_d3,m072528_o_min_ord28_rk00014,28,0.2602806851567073,2.8962915290459277,9,Democracy
Pooled,o_min,xgb_tree_d3,m048529_o_min_ord4_rk00015,4,0.26026390523969123,1.5,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m048517_o_min_ord4_rk00003,4,0.2601147951983991,1.5,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m048520_o_min_ord4_rk00006,4,0.25972458449144864,1.5,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m063532_o_min_ord19_rk00018,19,0.2596405313595175,2.8000446184790095,9,Democracy
Pooled,o_min,xgb_tree_d3,m066520_o_min_ord22_rk00006,22,0.25954191091678624,2.737872392231515,8,Democracy
Pooled,o_min,xgb_tree_d3,m048521_o_min_ord4_rk00007,4,0.25949429177895467,1.5,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m047517_o_min_ord3_rk00003,3,0.25934016313257935,1.584962500721156,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m060531_o_min_ord16_rk00017,16,0.2592758894282102,2.625,7,Temperature
Pooled,o_min,xgb_tree_d3,m063525_o_min_ord19_rk00011,19,0.2592146858694727,2.694781460584273,8,Democracy
Pooled,o_min,xgb_tree_d3,m052530_o_min_ord8_rk00016,8,0.25917453912348154,2.1556390622295662,5,Air Pollution
Pooled,o_min,xgb_tree_d3,m048518_o_min_ord4_rk00004,4,0.2591473792610599,1.5,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m047533_o_min_ord3_rk00019,3,0.25847563570994503,0.9182958340544896,2,Socioeconomic
Pooled,o_min,xgb_tree_d3,m063534_o_min_ord19_rk00020,19,0.25842246532229085,2.984769618706743,9,Temperature
Pooled,o_min,xgb_tree_d3,m051527_o_min_ord7_rk00013,7,0.2582618802203188,1.8423709931771088,4,Air Pollution
Pooled,o_min,xgb_tree_d3,m048525_o_min_ord4_rk00011,4,0.25820434310406737,1.5,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m064523_o_min_ord20_rk00009,20,0.2581452660538943,2.739353872167201,9,Democracy
Pooled,o_min,xgb_tree_d3,m064521_o_min_ord20_rk00007,20,0.2581394404330839,2.739353872167201,9,Democracy
Pooled,o_min,xgb_tree_d3,m052529_o_min_ord8_rk00015,8,0.25810171940674276,2.1556390622295662,5,Air Pollution
Pooled,o_min,xgb_tree_d3,m064532_o_min_ord20_rk00018,20,0.25805904822267123,2.9414460711655215,9,Democracy
Pooled,o_min,xgb_tree_d3,m065531_o_min_ord21_rk00017,21,0.258051474948207,2.9463875191311275,9,Democracy
Pooled,o_min,xgb_tree_d3,m066528_o_min_ord22_rk00014,22,0.25776561664681585,2.6405219626825924,8,Democracy
Pooled,o_min,xgb_tree_d3,m066533_o_min_ord22_rk00019,22,0.25763992376055156,2.8045965297024473,9,Democracy
Pooled,o_min,xgb_tree_d3,m061525_o_min_ord17_rk00011,17,0.2576092200549607,2.6601297526332566,8,Democracy
Pooled,o_min,xgb_tree_d3,m048523_o_min_ord4_rk00009,4,0.2575300208769179,1.5,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m055527_o_min_ord11_rk00013,11,0.25751362760071317,2.1180782093497093,5,Temperature
Pooled,o_min,xgb_tree_d3,m056527_o_min_ord12_rk00013,12,0.25746935023473394,2.688721875540867,7,Air Pollution
Pooled,o_min,xgb_tree_d3,m064518_o_min_ord20_rk00004,20,0.25730726387383807,2.739353872167201,9,Democracy
Pooled,o_min,xgb_tree_d3,m052532_o_min_ord8_rk00018,8,0.2572451071374037,2.0,4,Air Pollution
Pooled,o_min,xgb_tree_d3,m047532_o_min_ord3_rk00018,3,0.25724507578139855,1.584962500721156,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m047520_o_min_ord3_rk00006,3,0.2572412165346586,-0.0,1,Air Pollution
Pooled,o_min,xgb_tree_d3,m064526_o_min_ord20_rk00012,20,0.2572259995357542,2.739353872167201,9,Democracy
Pooled,o_min,xgb_tree_d3,m048516_o_min_ord4_rk00002,4,0.2571974787127185,1.5,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m074529_o_min_ord30_rk00015,30,0.2571756255952228,2.8640835117703762,9,Democracy
Pooled,o_min,xgb_tree_d3,m068532_o_min_ord24_rk00018,24,0.2570232338568803,2.83429531609601,9,Democracy
Pooled,o_min,xgb_tree_d3,m051524_o_min_ord7_rk00010,7,0.2569702802721534,1.8423709931771088,4,Air Pollution
Pooled,o_min,xgb_tree_d3,m052533_o_min_ord8_rk00019,8,0.25691501954876284,2.5,6,Air Pollution
Pooled,o_min,xgb_tree_d3,m072515_o_min_ord28_rk00001,28,0.25686320102146365,2.780394654123194,8,Democracy
Pooled,o_min,xgb_tree_d3,m061520_o_min_ord17_rk00006,17,0.25675768816267386,2.939829017466402,9,Democracy
Pooled,o_min,xgb_tree_d3,m063517_o_min_ord19_rk00003,19,0.2566340201787326,2.8000446184790095,9,Democracy
Pooled,o_min,xgb_tree_d3,m051528_o_min_ord7_rk00014,7,0.2565535229161674,1.8423709931771088,4,Air Pollution
Pooled,o_min,xgb_tree_d3,m047531_o_min_ord3_rk00017,3,0.25652928135420683,0.9182958340544896,2,Air Pollution
Pooled,o_min,xgb_tree_d3,m062516_o_min_ord18_rk00002,18,0.25652563573066944,2.7107770844150676,7,Precipitation/droughts
Pooled,o_min,xgb_tree_d3,m061533_o_min_ord17_rk00019,17,0.25645053559326847,2.9109922530150456,9,Temperature
Pooled,o_min,xgb_tree_d3,m074525_o_min_ord30_rk00011,30,0.25640204568613867,2.8640835117703762,9,Democracy
Pooled,o_min,xgb_tree_d3,m056532_o_min_ord12_rk00018,12,0.2563903304875952,2.292481250360578,5,Temperature
Pooled,o_min,xgb_tree_d3,m064519_o_min_ord20_rk00005,20,0.25638614730746023,2.7464393446710154,7,Precipitation/droughts
Pooled,o_min,xgb_tree_d3,m057520_o_min_ord13_rk00006,13,0.2562099564449005,2.873140679513133,8,Precipitation/droughts
Pooled,o_min,xgb_tree_d3,m066515_o_min_ord22_rk00001,22,0.25616577914432803,2.9540036423298544,9,Democracy
Pooled,o_min,xgb_tree_d3,m056517_o_min_ord12_rk00003,12,0.2561034754372329,2.688721875540867,7,Temperature
Pooled,o_min,xgb_tree_d3,m060518_o_min_ord16_rk00004,16,0.2560734922589101,2.452819531114783,6,Temperature
Pooled,o_min,xgb_tree_d3,m065529_o_min_ord21_rk00015,21,0.2560414864455084,2.9463875191311275,9,Temperature
Pooled,o_min,xgb_tree_d3,m064530_o_min_ord20_rk00016,20,0.2560411152862254,2.6841837197791887,7,Temperature
Pooled,o_min,xgb_tree_d3,m052531_o_min_ord8_rk00017,8,0.25601660595122633,2.1556390622295662,5,Air Pollution
Pooled,o_min,xgb_tree_d3,m070521_o_min_ord26_rk00007,26,0.25600517844166815,2.8252517372886508,9,Democracy
Pooled,o_min,xgb_tree_d3,m060534_o_min_ord16_rk00020,16,0.2559220264866988,2.4834585933443494,7,Democracy
Pooled,o_min,xgb_tree_d3,m062515_o_min_ord18_rk00001,18,0.25576976069226565,2.858278308418045,9,Democracy
Pooled,o_min,xgb_tree_d3,m072522_o_min_ord28_rk00008,28,0.25576685103774977,2.780394654123194,8,Democracy
Pooled,o_min,xgb_tree_d3,m065522_o_min_ord21_rk00008,21,0.2556472066099409,2.7199643047423914,7,Democracy
Pooled,o_min,xgb_tree_d3,m066518_o_min_ord22_rk00004,22,0.2556388573536318,2.731431053591683,9,Democracy
Pooled,o_min,xgb_tree_d3,m063516_o_min_ord19_rk00002,19,0.2556183868061741,2.8000446184790095,9,Democracy
Pooled,o_min,xgb_tree_d3,m054517_o_min_ord10_rk00003,10,0.2555803975496467,2.170950594454669,5,Air Pollution
Pooled,o_min,xgb_tree_d3,m057519_o_min_ord13_rk00005,13,0.2555057606829034,2.6612262562697895,7,Temperature
Pooled,o_min,xgb_tree_d3,m065518_o_min_ord21_rk00004,21,0.2554142118984305,2.753918758180346,9,Democracy
Pooled,o_min,xgb_tree_d3,m047515_o_min_ord3_rk00001,3,0.25536738195945763,0.9182958340544896,2,Air Pollution
Pooled,o_min,xgb_tree_d3,m048528_o_min_ord4_rk00014,4,0.2553592498641558,1.5,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m072517_o_min_ord28_rk00003,28,0.2553257418379563,2.7754316010011366,9,Democracy
Pooled,o_min,xgb_tree_d3,m049517_o_min_ord5_rk00003,5,0.2552850475671614,1.9219280948873623,4,Air Pollution
Pooled,o_min,xgb_tree_d3,m064516_o_min_ord20_rk00002,20,0.2551434761702889,2.746439344671016,8,Democracy
Pooled,o_min,xgb_tree_d3,m058518_o_min_ord14_rk00004,14,0.25514136400359855,2.610577243331642,7,Temperature
Pooled,o_min,xgb_tree_d3,m065526_o_min_ord21_rk00012,21,0.25513901292349994,2.7179717342678,8,Democracy
Pooled,o_min,xgb_tree_d3,m067527_o_min_ord23_rk00013,23,0.2550108104711879,2.7837353286220776,9,Democracy
Pooled,o_min,xgb_tree_d3,m069517_o_min_ord25_rk00003,25,0.25498941309166523,2.8530201924480454,9,Democracy
Pooled,o_min,xgb_tree_d3,m049530_o_min_ord5_rk00016,5,0.2548647864402973,1.5219280948873621,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m058533_o_min_ord14_rk00019,14,0.2548631788052935,2.610577243331642,7,Temperature
Pooled,o_min,xgb_tree_d3,m062530_o_min_ord18_rk00016,18,0.25484962119434074,2.6688388898504303,8,Democracy
Pooled,o_min,xgb_tree_d3,m059523_o_min_ord15_rk00009,15,0.25474978766174394,2.256564762130954,5,Temperature
Pooled,o_min,xgb_tree_d3,m067520_o_min_ord23_rk00006,23,0.2546546871672011,2.9424955222917832,9,Democracy
Pooled,o_min,xgb_tree_d3,m070532_o_min_ord26_rk00018,26,0.25456820890802045,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m057523_o_min_ord13_rk00009,13,0.2545623348931334,2.873140679513133,8,Precipitation/droughts
Pooled,o_min,xgb_tree_d3,m062525_o_min_ord18_rk00011,18,0.25455847531935205,2.591793226077496,8,Democracy
Pooled,o_min,xgb_tree_d3,m065520_o_min_ord21_rk00006,21,0.2545150832779858,2.9463875191311275,9,Democracy
Pooled,o_min,xgb_tree_d3,m053532_o_min_ord9_rk00018,9,0.25448707114012514,2.0588138903312014,5,Democracy
Pooled,o_min,xgb_tree_d3,m067521_o_min_ord23_rk00007,23,0.25447426057207745,2.8927021732601896,9,Democracy
Pooled,o_min,xgb_tree_d3,m059526_o_min_ord15_rk00012,15,0.25442880881293695,2.4729055953200563,6,Temperature
Pooled,o_min,xgb_tree_d3,m053534_o_min_ord9_rk00020,9,0.2544086601560749,2.197159723424149,5,Air Pollution
Pooled,o_min,xgb_tree_d3,m057527_o_min_ord13_rk00013,13,0.2542419191504677,2.6031579868726,7,Temperature
Pooled,o_min,xgb_tree_d3,m067533_o_min_ord23_rk00019,23,0.2542150114090064,2.9424955222917832,9,Democracy
Pooled,o_min,xgb_tree_d3,m071521_o_min_ord27_rk00007,27,0.2542016248071768,2.8139107630313687,8,Democracy
Pooled,o_min,xgb_tree_d3,m070526_o_min_ord26_rk00012,26,0.2541611608447697,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m072523_o_min_ord28_rk00009,28,0.2541522835763439,2.865764637179023,9,Democracy
Pooled,o_min,xgb_tree_d3,m062533_o_min_ord18_rk00019,18,0.25407329995553085,2.6688388898504303,8,Democracy
Pooled,o_min,xgb_tree_d3,m072516_o_min_ord28_rk00002,28,0.25404007833924047,2.865764637179023,9,Democracy
Pooled,o_min,xgb_tree_d3,m070525_o_min_ord26_rk00011,26,0.2540257156147231,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m051520_o_min_ord7_rk00006,7,0.2538877615572803,2.1280852788913944,5,Air Pollution
Pooled,o_min,xgb_tree_d3,m072529_o_min_ord28_rk00015,28,0.2537892895122208,2.865764637179023,9,Democracy
Pooled,o_min,xgb_tree_d3,m062523_o_min_ord18_rk00009,18,0.2537408324896101,2.4613201402110088,6,Temperature
Pooled,o_min,xgb_tree_d3,m064528_o_min_ord20_rk00014,20,0.2536537494631811,2.7709505944546686,8,Democracy
Pooled,o_min,xgb_tree_d3,m072533_o_min_ord28_rk00019,28,0.25365068103138233,2.7754316010011366,9,Democracy
Pooled,o_min,xgb_tree_d3,m050522_o_min_ord6_rk00008,6,0.2536124047274486,1.9182958340544893,4,Air Pollution
Pooled,o_min,xgb_tree_d3,m057529_o_min_ord13_rk00015,13,0.25361240390004613,2.6031579868726,7,Temperature
Pooled,o_min,xgb_tree_d3,m070519_o_min_ord26_rk00005,26,0.25356546149013826,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m065519_o_min_ord21_rk00005,21,0.2534807680056863,2.7199643047423914,8,Democracy
Pooled,o_min,xgb_tree_d3,m053518_o_min_ord9_rk00004,9,0.2534593113676725,2.197159723424149,5,Temperature
Pooled,o_min,xgb_tree_d3,m070520_o_min_ord26_rk00006,26,0.25344574226774574,2.8252517372886508,9,Democracy
Pooled,o_min,xgb_tree_d3,m058531_o_min_ord14_rk00017,14,0.2534240065423182,2.6455933144511468,7,Temperature
Pooled,o_min,xgb_tree_d3,m071525_o_min_ord27_rk00011,27,0.2534163525665182,2.815460540067162,9,Democracy
Pooled,o_min,xgb_tree_d3,m062531_o_min_ord18_rk00017,18,0.2533961046991674,2.9057645846554525,9,Temperature
Pooled,o_min,xgb_tree_d3,m048519_o_min_ord4_rk00005,4,0.2533869516950603,1.5,3,Socioeconomic
Pooled,o_min,xgb_tree_d3,m061524_o_min_ord17_rk00010,17,0.25335830921979907,2.498077546623641,7,Democracy
Pooled,o_min,xgb_tree_d3,m068526_o_min_ord24_rk00012,24,0.2533474050790896,2.840199876515855,9,Democracy
Pooled,o_min,xgb_tree_d3,m055517_o_min_ord11_rk00003,11,0.2533116189913446,2.663532754804255,7,Temperature
Pooled,o_min,xgb_tree_d3,m069530_o_min_ord25_rk00016,25,0.25330242647142576,2.84307418942857,8,Democracy
Pooled,o_min,xgb_tree_d3,m060526_o_min_ord16_rk00012,16,0.25325769561301426,2.7806390622295662,8,Temperature
Pooled,o_min,xgb_tree_d3,m058527_o_min_ord14_rk00013,14,0.25324306607862535,2.5027361715940035,6,Air Pollution
Pooled,o_min,xgb_tree_d3,m057534_o_min_ord13_rk00020,13,0.25322182475078736,2.4116022179746714,6,Temperature
Pooled,o_min,xgb_tree_d3,m053519_o_min_ord9_rk00005,9,0.25321647981330375,2.2810361125534238,5,Air Pollution
Pooled,o_min,xgb_tree_d3,m050517_o_min_ord6_rk00003,6,0.2531710388311188,1.7924812503605778,4,Air Pollution
Pooled,o_min,xgb_tree_d3,m059534_o_min_ord15_rk00020,15,0.25314976450949533,2.689246428509158,7,Air Pollution
Pooled,o_min,xgb_tree_d3,m054532_o_min_ord10_rk00018,10,0.25304782453967656,2.4464393446710155,6,Temperature
Pooled,o_min,xgb_tree_d3,m065534_o_min_ord21_rk00020,21,0.2530451817288679,2.7606668272315975,8,Democracy
Pooled,o_min,xgb_tree_d3,m066522_o_min_ord22_rk00008,22,0.2529929795543835,2.9019469592513696,9,Democracy
Pooled,o_min,xgb_tree_d3,m057528_o_min_ord13_rk00014,13,0.252966046306493,2.6612262562697895,7,Temperature
Pooled,o_min,xgb_tree_d3,m070522_o_min_ord26_rk00008,26,0.2529611620848381,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m049533_o_min_ord5_rk00019,5,0.25295935282090787,1.5219280948873621,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m072531_o_min_ord28_rk00017,28,0.2529471990422637,2.7754316010011366,9,Democracy
Pooled,o_min,xgb_tree_d3,m049525_o_min_ord5_rk00011,5,0.25292077774609467,1.5219280948873621,3,Air Pollution
Pooled,o_min,xgb_tree_d3,m047519_o_min_ord3_rk00005,3,0.25289798239568106,0.9182958340544896,2,Air Pollution
Pooled,o_min,xgb_tree_d3,m067524_o_min_ord23_rk00010,23,0.25287497855592855,2.8768531307993075,9,Democracy
Pooled,o_min,xgb_tree_d3,m068523_o_min_ord24_rk00009,24,0.2528241698824063,2.7509619827626763,9,Democracy
Pooled,o_min,xgb_tree_d3,m066531_o_min_ord22_rk00017,22,0.25281304944962035,2.9540036423298544,9,Democracy
