condition,objective,rung_id,candidate_id,order,r2,shannon_h,n_domains,dominant_domain
AD+FTD->FTD,o_max,xgb_tree_d1,m006006_o_max_ord9_rk00007,9,0.4239469616655194,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m008002_o_max_ord11_rk00003,11,0.4239161140579396,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m025019_o_max_ord28_rk00020,28,0.4239135511673846,1.1336983823367468,5,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m009019_o_max_ord12_rk00020,12,0.4238488068946697,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m009006_o_max_ord12_rk00007,12,0.4238374780944574,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m012001_o_max_ord15_rk00002,15,0.4238236791395633,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m004009_o_max_ord7_rk00010,7,0.4237994974901575,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m001015_o_max_ord4_rk00016,4,0.4237443401675288,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m004011_o_max_ord7_rk00012,7,0.4237155317219835,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m007006_o_max_ord10_rk00007,10,0.4236854412278864,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m013001_o_max_ord16_rk00002,16,0.4235984387797706,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m008004_o_max_ord11_rk00005,11,0.4235621460211412,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m008012_o_max_ord11_rk00013,11,0.4233930533135686,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m014006_o_max_ord17_rk00007,17,0.4233716503874022,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m017016_o_max_ord20_rk00017,20,0.4233118910205373,0.2863969571159562,2,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m008009_o_max_ord11_rk00010,11,0.4232216485973481,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m005013_o_max_ord8_rk00014,8,0.4232006668216518,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m007003_o_max_ord10_rk00004,10,0.4231032872518567,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m013010_o_max_ord16_rk00011,16,0.423053970343911,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m001011_o_max_ord4_rk00012,4,0.4229563402633022,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m025003_o_max_ord28_rk00004,28,0.4229442561331797,1.2274025692592483,5,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m015002_o_max_ord18_rk00003,18,0.4229207655471461,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m022010_o_max_ord25_rk00011,25,0.4229067917403705,1.2252357794710609,5,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m012018_o_max_ord15_rk00019,15,0.42288024896142,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m007010_o_max_ord10_rk00011,10,0.4228654242352829,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m006019_o_max_ord9_rk00020,9,0.4227418564255518,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m020018_o_max_ord23_rk00019,23,0.422634219785132,0.8076702057269436,3,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m013009_o_max_ord16_rk00010,16,0.4226281284630637,0.3372900666170139,2,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m027003_o_max_ord30_rk00004,30,0.4226091615340753,1.1721597626314755,5,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m009018_o_max_ord12_rk00019,12,0.4225909417575721,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m013011_o_max_ord16_rk00012,16,0.4225852290335673,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m007007_o_max_ord10_rk00008,10,0.422542550912811,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m009005_o_max_ord12_rk00006,12,0.4224935449226275,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m001004_o_max_ord4_rk00005,4,0.422448608547517,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m025007_o_max_ord28_rk00008,28,0.4223982903683941,1.1336983823367468,5,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m000000_o_max_ord3_rk00001,3,0.4223670983706485,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m009011_o_max_ord12_rk00012,12,0.4223515651679868,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m005011_o_max_ord8_rk00012,8,0.4222530552394609,-0.0,1,Democracy
AD+FTD->FTD,o_max,xgb_tree_d1,m010014_o_max_ord13_rk00015,13,0.422217445965943,-0.0,1,Democracy
