fold,series,median_r2,min_r2,max_r2,baseline_r2
Argentina,top20_red,0.2943797809209141,0.2878574091565747,0.3048035492594187,0.307692480267824
Australia,top20_red,0.2250850260859987,0.2030509682176282,0.241470710914157,0.1524518221019059
Austria,top20_red,0.3510573277729911,0.3215678028492359,0.3707397723915775,0.2619539353789877
Brazil,top20_red,0.0538012798971305,0.0479444769900828,0.057016387359794,0.042973103078769
Canada,top20_red,0.1423269494574038,0.1320954563897499,0.1507283070786421,0.1339183012163995
Chile,top20_red,0.4799970621224613,0.4644985268785827,0.4968217568102633,0.4521890574041416
China,top20_red,0.1736870887384455,0.1590217178362207,0.184088771507959,0.1475781625652298
Colombia,top20_red,0.2961327889886026,0.2871454525464304,0.3018621283906366,0.2901177323690459
Germany,top20_red,0.240046044381453,0.2203014467469091,0.2460284894517083,0.2183261196658178
India,top20_red,0.159279576564415,0.0912272003675215,0.1787252045055352,0.199081436954647
Ireland,top20_red,0.5365904058259175,0.522426842094141,0.5625184145384174,0.5465396875194044
Japan,top20_red,0.1449759622004583,0.1276198617439482,0.1567351683736902,0.1288957906363105
Mexico,top20_red,0.2035929277567744,0.186554534400983,0.210175999570637,0.18999204810428
Netherlands,top20_red,0.4555811238591873,0.4410577117974239,0.4680809543730884,0.4520101867943263
Peru,top20_red,0.3587206934741624,0.3279295042394111,0.3836355383601173,0.352450239208495
South Africa,top20_red,-0.0034788595994348,-0.0355095029674092,0.0065905966933971,-0.0254727645859764
Spain,top20_red,-0.0063835964761159,-0.0268685491414708,0.0081128748231865,-0.0749585990800401
Sweden,top20_red,0.3190118987032887,0.2832047616394202,0.3485393561410469,0.3304982646651594
Switzerland,top20_red,0.1179303067469912,0.0455288319710875,0.135913023122901,0.0675336472778981
Turkey,top20_red,0.056022398050503,-0.1004256861451176,0.1420180143810689,0.1757018208389065
United Kingdom,top20_red,0.278982791479468,0.2677757699855176,0.2852715513821902,0.2918107240984627
United States,top20_red,0.3263027702784711,0.3043818180554996,0.3493097544026032,0.3072800330491005
Argentina,top20_syn,0.2971936228928555,0.2821321275658943,0.3152807920842218,0.307692480267824
Australia,top20_syn,0.2048825390848994,0.1850597653526484,0.2289329392336653,0.1524518221019059
Austria,top20_syn,0.35117431609194,0.3169025519438838,0.3879067984909606,0.2619539353789877
Brazil,top20_syn,0.0448678354891656,0.006173954129817,0.0564472785407899,0.042973103078769
Canada,top20_syn,0.1408872163696741,0.1280638979636655,0.1502666898877831,0.1339183012163995
Chile,top20_syn,0.4815980473699491,0.461954962356273,0.515057013393942,0.4521890574041416
China,top20_syn,0.157205140335127,0.1061332851582351,0.1754638127513006,0.1475781625652298
Colombia,top20_syn,0.2889418149425762,0.2669180812618682,0.3006159480639837,0.2901177323690459
Germany,top20_syn,0.275303305524244,0.2540842744437533,0.2989548233215385,0.2183261196658178
India,top20_syn,0.168920329928199,0.0615612767388517,0.2076569015538707,0.199081436954647
Ireland,top20_syn,0.5095647603929201,0.4568560477532426,0.5684006211672786,0.5465396875194044
Japan,top20_syn,0.1369243272820435,0.1060206226379421,0.1528690277767502,0.1288957906363105
Mexico,top20_syn,0.1926347649421694,0.1761104073332861,0.2070493677304032,0.18999204810428
Netherlands,top20_syn,0.44576062724987,0.4300959850323255,0.4664720194441825,0.4520101867943263
Peru,top20_syn,0.3804690513818117,0.3261296328278409,0.404336761054419,0.352450239208495
South Africa,top20_syn,-0.0127777209405929,-0.0448933421756561,0.006974063854082,-0.0254727645859764
Spain,top20_syn,-0.0111269159288499,-0.0496240807999011,-0.0024685112767763,-0.0749585990800401
Sweden,top20_syn,0.3110342464691232,0.2696902337521085,0.3231582399006569,0.3304982646651594
Switzerland,top20_syn,0.1380475278225107,0.0688665913461183,0.1724352324904329,0.0675336472778981
Turkey,top20_syn,0.1928462551751232,0.1626186623394118,0.2534292338747071,0.1757018208389065
United Kingdom,top20_syn,0.2841128290828221,0.2743853345108321,0.2957251735501905,0.2918107240984627
United States,top20_syn,0.3323979346091891,0.3100163808808882,0.3466742964590387,0.3072800330491005
