fold,series,median_r2,min_r2,max_r2,baseline_r2
America Central,top20_red,0.3146015454130791,0.2906598796301356,0.3351958133187407,0.3227257773559026
America Northern,top20_red,0.6006184820452452,0.59026874011435,0.619407148906708,0.5988850106014072
America South,top20_red,0.2737220131785911,0.2681908335825631,0.2816092426156025,0.2443873760387362
Asia East,top20_red,0.3944142665091187,0.3419910528055844,0.4321540334526343,0.510896301637492
Asia South,top20_red,0.2624395444589107,0.2352077612738835,0.3082829201436635,0.2400611265905201
Europe North/Western,top20_red,0.5453706426052156,0.4727531529883169,0.5914780642914249,0.6434561200117495
Europe Southern,top20_red,0.4597083497962871,0.4438743563721209,0.4722005308975151,0.394462593824206
Oceania,top20_red,0.6294303832466879,0.615264844084958,0.6465284506719268,0.6538111210107947
America Central,top20_syn,0.2869144032176877,-0.0114578808680501,0.3874147940892438,0.3227257773559026
America Northern,top20_syn,0.5950069845125475,0.5857017236753004,0.6237212053992072,0.5988850106014072
America South,top20_syn,0.2743412981330387,0.2507768682454392,0.2812485527825062,0.2443873760387362
Asia East,top20_syn,0.4886696516802027,0.4040310305228466,0.5244239967190054,0.510896301637492
Asia South,top20_syn,0.2857623943750386,0.243811952213797,0.3531675299803609,0.2400611265905201
Europe North/Western,top20_syn,0.6183253022792798,0.5112519336430341,0.6419487958250409,0.6434561200117495
Europe Southern,top20_syn,0.4296142561964098,0.3523969955088376,0.4615523044391091,0.394462593824206
Oceania,top20_syn,0.6260290146131089,0.5849539981453458,0.6905736666211495,0.6538111210107947
