fold,series,median_r2,min_r2,max_r2,baseline_r2
America Central,top20_red,0.2891020171647187,0.2732395231633318,0.31986873114606,0.2968222066503458
America Northern,top20_red,0.2793710422998358,0.2646147368092739,0.2825322739548204,0.2712012327401968
America South,top20_red,0.2509150330216414,0.2300641494818875,0.2596310640988127,0.2240256024118049
Asia East,top20_red,0.1632833351710994,0.1456898313408398,0.1886638396439129,0.1644170780787406
Asia South,top20_red,0.1990059251491735,0.1889448968835755,0.2035753248726703,0.191047904541363
Europe North/Western,top20_red,0.2439984723352254,0.2061703415763525,0.2613793492670396,0.2434166947647055
Europe Southern,top20_red,0.0675627022243355,0.0390527539312597,0.0810305849084289,0.0760756889735628
Oceania,top20_red,0.2036620849613402,0.1731216585949329,0.216675817286713,0.1517214545388265
Southern Africa,top20_red,-0.1034972691652039,-0.1243621325311825,-0.0143648621512917,-0.0341307072697405
America Central,top20_syn,0.3334065511232974,0.2946588382461322,0.3584101737810099,0.2968222066503458
America Northern,top20_syn,0.2744550472206589,0.2633257547384565,0.2785905667062327,0.2712012327401968
America South,top20_syn,0.2543769406265734,0.2378845009310382,0.2668666375825942,0.2240256024118049
Asia East,top20_syn,0.1783777069223056,0.1537312563621744,0.1977792424150234,0.1644170780787406
Asia South,top20_syn,0.1908704831030509,0.1393803395045192,0.2076900145371063,0.191047904541363
Europe North/Western,top20_syn,0.2829613491539733,0.2113451231119233,0.3044160741818101,0.2434166947647055
Europe Southern,top20_syn,0.0921471114059557,0.0583156087435829,0.1101835624840049,0.0760756889735628
Oceania,top20_syn,0.2120322295664704,0.1802185733008765,0.2358471766813021,0.1517214545388265
Southern Africa,top20_syn,-0.0172655627079639,-0.0517904749217164,0.0290036388184142,-0.0341307072697405
