fold,series,median_r2,min_r2,max_r2,baseline_r2
Argentina,top20_red,0.3032512249112746,0.2930864327700264,0.3162436737527946,0.307692480267824
Australia,top20_red,0.1835046005717999,0.1518709641245443,0.2187766421462628,0.1524518221019059
Austria,top20_red,0.3446888148713259,0.320219767999771,0.3877243918921668,0.2619539353789877
Brazil,top20_red,0.0479688021975497,0.0398227761736856,0.0564915881091779,0.042973103078769
Canada,top20_red,0.1460221958500515,0.1357727953917081,0.1522843858174691,0.1339183012163995
Chile,top20_red,0.4866334271200512,0.4738921658145285,0.5069359492129359,0.4521890574041416
China,top20_red,0.1571277228738736,0.1055931542100805,0.1788618096639163,0.1475781625652298
Colombia,top20_red,0.2939758508676041,0.2831693675415513,0.3022556175946683,0.2901177323690459
Germany,top20_red,0.2314010408658819,0.2070913827316512,0.2523728722346121,0.2183261196658178
India,top20_red,0.1868222194082068,0.1655589094744739,0.2013991743124453,0.199081436954647
Ireland,top20_red,0.5126464556751281,0.4367770398847793,0.5742103257908961,0.5465396875194044
Japan,top20_red,0.1315738089040464,0.1204019545218567,0.1517013740847281,0.1288957906363105
Mexico,top20_red,0.1826747522469688,0.1673029155181358,0.2043376939565694,0.18999204810428
Netherlands,top20_red,0.4461325882575737,0.4129836632728252,0.4627505376517077,0.4520101867943263
Peru,top20_red,0.3292024328063346,0.2728688601303675,0.3668487829082864,0.352450239208495
South Africa,top20_red,-0.0178090237203928,-0.0271586257100049,-0.0011639874620859,-0.0254727645859764
Spain,top20_red,-0.0056897871093771,-0.0378576249115525,0.0050600928243964,-0.0749585990800401
Sweden,top20_red,0.2896185907374707,0.2503941888965505,0.3239140155437813,0.3304982646651594
Switzerland,top20_red,0.1068758768831336,-0.0145118795681153,0.1764678972861709,0.0675336472778981
Turkey,top20_red,0.08381647113747,-0.158847012527669,0.1857914424686918,0.1757018208389065
United Kingdom,top20_red,0.2875026195119178,0.2813152618608747,0.2962904015723411,0.2918107240984627
United States,top20_red,0.322175980180494,0.2922658282679174,0.336835296394346,0.3072800330491005
Argentina,top20_syn,0.2959242565606312,0.277863326395863,0.3152807920842218,0.307692480267824
Australia,top20_syn,0.1998068340254989,0.1811005865148067,0.2289329392336653,0.1524518221019059
Austria,top20_syn,0.35117431609194,0.3169025519438838,0.3879067984909606,0.2619539353789877
Brazil,top20_syn,0.0456058552786458,0.006173954129817,0.0564472785407899,0.042973103078769
Canada,top20_syn,0.1379644541566124,0.1236714872348667,0.1502666898877831,0.1339183012163995
Chile,top20_syn,0.4801292861097304,0.4562573447241003,0.5076674824318695,0.4521890574041416
China,top20_syn,0.1608224756086872,0.1269324571339326,0.1754638127513006,0.1475781625652298
Colombia,top20_syn,0.2926714273774905,0.2669180812618682,0.3006159480639837,0.2901177323690459
Germany,top20_syn,0.2751456702982959,0.2403814239628416,0.2989548233215385,0.2183261196658178
India,top20_syn,0.1506883740662578,0.0615612767388517,0.2046309100480239,0.199081436954647
Ireland,top20_syn,0.504466493173594,0.4568560477532426,0.5501127680942001,0.5465396875194044
Japan,top20_syn,0.1394022668629027,0.1060206226379421,0.1528690277767502,0.1288957906363105
Mexico,top20_syn,0.190195307028301,0.1761104073332861,0.204236388299303,0.18999204810428
Netherlands,top20_syn,0.4438831169719137,0.4199017614674109,0.4634932321026385,0.4520101867943263
Peru,top20_syn,0.387185372018039,0.3261296328278409,0.4056106510435663,0.352450239208495
South Africa,top20_syn,-0.0132095655489884,-0.0448933421756561,0.006974063854082,-0.0254727645859764
Spain,top20_syn,-0.0130110159154893,-0.0496240807999011,-0.0024685112767763,-0.0749585990800401
Sweden,top20_syn,0.3112198588229085,0.2696902337521085,0.3254188178994227,0.3304982646651594
Switzerland,top20_syn,0.1462869830486293,0.0611803193151503,0.1817906650758577,0.0675336472778981
Turkey,top20_syn,0.2010884336884462,0.1626186623394118,0.2534292338747071,0.1757018208389065
United Kingdom,top20_syn,0.2807547704808084,0.2743853345108321,0.3008652435834772,0.2918107240984627
United States,top20_syn,0.3319099494544844,0.3100163808808882,0.3466742964590387,0.3072800330491005
