source_label,order,min_o_info,max_o_info
ols,3,-0.098414117111681,0.192696001785293
ols,4,-0.1195549700503142,0.414084654224051
ols,5,-0.0839763838978008,0.5378751133689825
ols,6,-0.0499808770323503,0.6201266657807789
ols,7,0.0538515784383653,0.692253296551866
ols,8,0.2053880773539309,0.7293682125865404
ols,9,0.4536357403273052,0.8048385457449632
ols,10,0.7889891906420639,0.7889891906420639
xgb_tree_d1,3,-0.098414117111681,0.3368678352744918
xgb_tree_d1,4,-0.1347550658980709,0.4177228543713138
xgb_tree_d1,5,-0.1576280684647696,0.4864837067128666
xgb_tree_d1,6,-0.1372925260008158,0.5447073111909455
xgb_tree_d1,7,-0.1044231404347977,0.5827829186578872
xgb_tree_d1,8,0.0260862966498913,0.6060190724353434
xgb_tree_d1,9,0.1964695509038976,0.6321011871399072
xgb_tree_d1,10,0.6063185598050307,0.6063185598050307
xgb_tree_d2,3,-0.1219707024849776,0.2794046054951677
xgb_tree_d2,4,-0.1406518479854245,0.5336405057383402
xgb_tree_d2,5,-0.1438035369741694,0.7878865166737228
xgb_tree_d2,6,-0.0675998792192655,0.8906417210049271
xgb_tree_d2,7,0.0376304570423797,0.9157198823133011
xgb_tree_d2,8,0.1571156332140966,0.9398036671506302
xgb_tree_d2,9,0.3996821904927961,0.9518862350116803
xgb_tree_d2,10,0.931121121915583,0.931121121915583
xgb_tree_d3,3,-0.1219707024849776,0.4215923117054621
xgb_tree_d3,4,-0.1406518479854245,0.6680596473652212
xgb_tree_d3,5,-0.1438035369741694,0.8636648239489713
xgb_tree_d3,6,-0.0806835873052245,1.1029091846747825
xgb_tree_d3,7,0.0799735402990415,1.2292576647817124
xgb_tree_d3,8,0.3043057172180898,1.286542230895248
xgb_tree_d3,9,0.5452655971908928,1.2838824392995498
xgb_tree_d3,10,1.2804879670227538,1.2804879670227538
