model_level,objective,candidate_id,full_r2,base_r2,delta_r2_vs_base
OLS,o_max,m000000_o_max_ord3_rk00001,0.4371222216624273,0.5511279581498074,-0.1140057364873801
OLS,o_max,m000001_o_max_ord3_rk00002,-3.729016272736247,0.5511279581498074,-4.280144230886054
OLS,o_max,m000002_o_max_ord3_rk00003,0.491231497104296,0.5511279581498074,-0.05989646104551144
OLS,o_max,m000003_o_max_ord3_rk00004,0.487591197420439,0.5511279581498074,-0.06353676072936842
OLS,o_max,m000004_o_max_ord3_rk00005,0.4749338082418888,0.5511279581498074,-0.07619414990791862
OLS,o_max,m000005_o_max_ord3_rk00006,0.4240919203649029,0.5511279581498074,-0.12703603778490452
OLS,o_max,m000006_o_max_ord3_rk00007,0.4558383008469745,0.5511279581498074,-0.0952896573028329
OLS,o_max,m000007_o_max_ord3_rk00008,0.4830615184890139,0.5511279581498074,-0.06806643966079351
OLS,o_max,m000008_o_max_ord3_rk00009,0.4702080353430733,0.5511279581498074,-0.0809199228067341
OLS,o_max,m000009_o_max_ord3_rk00010,0.4724924977351836,0.5511279581498074,-0.07863546041462383
OLS,o_max,m000010_o_max_ord3_rk00011,0.4642761694796922,0.5511279581498074,-0.08685178867011523
OLS,o_max,m000011_o_max_ord3_rk00012,0.4637304675134898,0.5511279581498074,-0.08739749063631763
OLS,o_max,m000012_o_max_ord3_rk00013,0.4921190658446561,0.5511279581498074,-0.05900889230515133
OLS,o_max,m000013_o_max_ord3_rk00014,0.4881228046000895,0.5511279581498074,-0.06300515354971792
OLS,o_max,m000014_o_max_ord3_rk00015,0.4708554652683492,0.5511279581498074,-0.08027249288145821
OLS,o_max,m000015_o_max_ord3_rk00016,0.5000878373961578,0.5511279581498074,-0.05104012075364961
OLS,o_max,m000016_o_max_ord3_rk00017,0.4854264436268626,0.5511279581498074,-0.06570151452294481
OLS,o_max,m000017_o_max_ord3_rk00018,0.4350174732649574,0.5511279581498074,-0.11611048488485004
OLS,o_max,m000018_o_max_ord3_rk00019,0.5049583966293656,0.5511279581498074,-0.046169561520441826
OLS,o_max,m000019_o_max_ord3_rk00020,0.478960127396412,0.5511279581498074,-0.07216783075339539
OLS,o_max,m001000_o_max_ord4_rk00001,0.4812297116516346,0.5511279581498074,-0.06989824649817283
OLS,o_max,m001001_o_max_ord4_rk00002,0.4381316851381353,0.5511279581498074,-0.11299627301167214
OLS,o_max,m001002_o_max_ord4_rk00003,0.4565293319040174,0.5511279581498074,-0.09459862624579002
OLS,o_max,m001003_o_max_ord4_rk00004,0.4644774415902722,0.5511279581498074,-0.0866505165595352
OLS,o_max,m001004_o_max_ord4_rk00005,0.4427728966449274,0.5511279581498074,-0.10835506150488
OLS,o_max,m001005_o_max_ord4_rk00006,0.4357392712453358,0.5511279581498074,-0.11538868690447163
OLS,o_max,m001006_o_max_ord4_rk00007,0.5046839573178854,0.5511279581498074,-0.04644400083192202
OLS,o_max,m001007_o_max_ord4_rk00008,-5.632984255250827,0.5511279581498074,-6.184112213400635
OLS,o_max,m001008_o_max_ord4_rk00009,0.4124927715716614,0.5511279581498074,-0.138635186578146
OLS,o_max,m001009_o_max_ord4_rk00010,0.4275740807969478,0.5511279581498074,-0.12355387735285961
OLS,o_max,m001010_o_max_ord4_rk00011,0.4840362251186145,0.5511279581498074,-0.06709173303119292
OLS,o_max,m001011_o_max_ord4_rk00012,0.4715061048932134,0.5511279581498074,-0.07962185325659404
OLS,o_max,m001012_o_max_ord4_rk00013,0.4632848315683521,0.5511279581498074,-0.08784312658145532
OLS,o_max,m001013_o_max_ord4_rk00014,0.4152676721608429,0.5511279581498074,-0.1358602859889645
OLS,o_max,m001014_o_max_ord4_rk00015,0.464908824297957,0.5511279581498074,-0.08621913385185043
OLS,o_max,m001015_o_max_ord4_rk00016,0.3973995183673072,0.5511279581498074,-0.15372843978250023
OLS,o_max,m001016_o_max_ord4_rk00017,0.4930485706779339,0.5511279581498074,-0.05807938747187352
OLS,o_max,m001017_o_max_ord4_rk00018,0.4620898961962228,0.5511279581498074,-0.0890380619535846
OLS,o_max,m001018_o_max_ord4_rk00019,0.5028165286896507,0.5511279581498074,-0.04831142946015676
OLS,o_max,m001019_o_max_ord4_rk00020,-2.862568395163966,0.5511279581498074,-3.4136963533137736
OLS,o_max,m002000_o_max_ord5_rk00001,0.45794955743213,0.5511279581498074,-0.09317840071767741
OLS,o_max,m002001_o_max_ord5_rk00002,0.4912889603445063,0.5511279581498074,-0.05983899780530111
OLS,o_max,m002002_o_max_ord5_rk00003,0.4603936092761459,0.5511279581498074,-0.0907343488736615
OLS,o_max,m002003_o_max_ord5_rk00004,0.4631531642386228,0.5511279581498074,-0.08797479391118462
OLS,o_max,m002004_o_max_ord5_rk00005,0.4558374226691455,0.5511279581498074,-0.09529053548066191
OLS,o_max,m002005_o_max_ord5_rk00006,0.4891986388153124,0.5511279581498074,-0.061929319334495025
