model_level,objective,candidate_id,full_r2,base_r2,delta_r2_vs_base
OLS,o_max,m000000_o_max_ord3_rk00001,0.5370852156120922,0.5511279581498074,-0.014042742537715203
OLS,o_max,m000001_o_max_ord3_rk00002,0.3494357102588095,0.5511279581498074,-0.20169224789099793
OLS,o_max,m000002_o_max_ord3_rk00003,0.5411008348795439,0.5511279581498074,-0.01002712327026356
OLS,o_max,m000003_o_max_ord3_rk00004,0.5311121665137819,0.5511279581498074,-0.020015791636025515
OLS,o_max,m000004_o_max_ord3_rk00005,0.5176216889685199,0.5511279581498074,-0.03350626918128752
OLS,o_max,m000005_o_max_ord3_rk00006,0.5233823642191987,0.5511279581498074,-0.027745593930608714
OLS,o_max,m000006_o_max_ord3_rk00007,0.5240624114887731,0.5511279581498074,-0.027065546661034334
OLS,o_max,m000007_o_max_ord3_rk00008,0.5325309194878032,0.5511279581498074,-0.01859703866200424
OLS,o_max,m000008_o_max_ord3_rk00009,0.5037316629536143,0.5511279581498074,-0.04739629519619315
OLS,o_max,m000009_o_max_ord3_rk00010,0.5128051140505732,0.5511279581498074,-0.038322844099234255
OLS,o_max,m000010_o_max_ord3_rk00011,0.5070818601915238,0.5511279581498074,-0.044046097958283625
OLS,o_max,m000011_o_max_ord3_rk00012,0.534246081206037,0.5511279581498074,-0.016881876943770413
OLS,o_max,m000012_o_max_ord3_rk00013,0.5475184679905485,0.5511279581498074,-0.0036094901592589324
OLS,o_max,m000013_o_max_ord3_rk00014,0.5463798054330669,0.5511279581498074,-0.004748152716740561
OLS,o_max,m000014_o_max_ord3_rk00015,0.529852322849302,0.5511279581498074,-0.02127563530050547
OLS,o_max,m000015_o_max_ord3_rk00016,0.5396855674184208,0.5511279581498074,-0.011442390731386642
OLS,o_max,m000016_o_max_ord3_rk00017,0.5394265760639643,0.5511279581498074,-0.011701382085843148
OLS,o_max,m000017_o_max_ord3_rk00018,0.5293678160161139,0.5511279581498074,-0.021760142133693483
OLS,o_max,m000018_o_max_ord3_rk00019,0.5127643135107872,0.5511279581498074,-0.0383636446390202
OLS,o_max,m000019_o_max_ord3_rk00020,0.5461655723400958,0.5511279581498074,-0.004962385809711645
OLS,o_max,m001000_o_max_ord4_rk00001,0.5269030298278266,0.5511279581498074,-0.024224928321980865
OLS,o_max,m001001_o_max_ord4_rk00002,0.5195266345038796,0.5511279581498074,-0.031601323645927826
OLS,o_max,m001002_o_max_ord4_rk00003,0.5328405761883093,0.5511279581498074,-0.01828738196149815
OLS,o_max,m001003_o_max_ord4_rk00004,0.5274575471387384,0.5511279581498074,-0.023670411011069037
OLS,o_max,m001004_o_max_ord4_rk00005,0.5070798279046989,0.5511279581498074,-0.04404813024510856
OLS,o_max,m001005_o_max_ord4_rk00006,0.5029075473910911,0.5511279581498074,-0.0482204107587163
OLS,o_max,m001006_o_max_ord4_rk00007,0.5378454481036292,0.5511279581498074,-0.013282510046178198
OLS,o_max,m001007_o_max_ord4_rk00008,-2.057016364763037,0.5511279581498074,-2.6081443229128443
OLS,o_max,m001008_o_max_ord4_rk00009,0.5336699884888179,0.5511279581498074,-0.01745796966098956
