model_level,objective,candidate_id,full_r2,base_r2,delta_r2_vs_base
OLS,o_max,m000000_o_max_ord3_rk00001,0.293780028302226,0.2662406461567889,0.027539382145437108
OLS,o_max,m000001_o_max_ord3_rk00002,-0.228422663219818,0.2662406461567889,-0.49466330937660685
OLS,o_max,m000002_o_max_ord3_rk00003,0.2593415789682162,0.2662406461567889,-0.006899067188572694
OLS,o_max,m000003_o_max_ord3_rk00004,0.263758846422537,0.2662406461567889,-0.0024817997342518883
OLS,o_max,m000004_o_max_ord3_rk00005,0.2578633806162176,0.2662406461567889,-0.008377265540571277
OLS,o_max,m000005_o_max_ord3_rk00006,0.2727094705152106,0.2662406461567889,0.006468824358421721
OLS,o_max,m000006_o_max_ord3_rk00007,0.2686175524335205,0.2662406461567889,0.002376906276731594
OLS,o_max,m000007_o_max_ord3_rk00008,0.2582039619856668,0.2662406461567889,-0.008036684171122077
OLS,o_max,m000008_o_max_ord3_rk00009,0.2580190098008,0.2662406461567889,-0.008221636355988882
OLS,o_max,m000009_o_max_ord3_rk00010,0.2538142872267777,0.2662406461567889,-0.012426358930011205
OLS,o_max,m000010_o_max_ord3_rk00011,0.2654274042123842,0.2662406461567889,-0.0008132419444046857
OLS,o_max,m000011_o_max_ord3_rk00012,0.2630039287741635,0.2662406461567889,-0.003236717382625376
OLS,o_max,m000012_o_max_ord3_rk00013,0.2668963563169537,0.2662406461567889,0.0006557101601648019
OLS,o_max,m000013_o_max_ord3_rk00014,0.2653415899564016,0.2662406461567889,-0.0008990562003872715
OLS,o_max,m000014_o_max_ord3_rk00015,0.2611883868179483,0.2662406461567889,-0.00505225933884057
OLS,o_max,m000015_o_max_ord3_rk00016,0.2589251126335544,0.2662406461567889,-0.0073155335232344965
OLS,o_max,m000016_o_max_ord3_rk00017,0.2587901926334583,0.2662406461567889,-0.007450453523330569
OLS,o_max,m000017_o_max_ord3_rk00018,0.2909878859925496,0.2662406461567889,0.024747239835760715
OLS,o_max,m000018_o_max_ord3_rk00019,0.2825713530348833,0.2662406461567889,0.016330706878094403
OLS,o_max,m000019_o_max_ord3_rk00020,0.2555469570251254,0.2662406461567889,-0.010693689131663464
OLS,o_max,m001000_o_max_ord4_rk00001,0.2906948322660102,0.2662406461567889,0.024454186109221288
OLS,o_max,m001001_o_max_ord4_rk00002,0.2925306331462677,0.2662406461567889,0.02628998698947882
OLS,o_max,m001002_o_max_ord4_rk00003,0.2920020670338934,0.2662406461567889,0.025761420877104535
OLS,o_max,m001003_o_max_ord4_rk00004,0.2635964392109413,0.2662406461567889,-0.0026442069458476047
OLS,o_max,m001004_o_max_ord4_rk00005,0.2926583764404089,0.2662406461567889,0.02641773028361999
