model_level,objective,candidate_id,full_r2,base_r2,delta_r2_vs_base
OLS,o_max,m000000_o_max_ord3_rk00001,0.2727153385048678,0.2662406461567889,0.006474692348078903
OLS,o_max,m000001_o_max_ord3_rk00002,-0.1144220161610563,0.2662406461567889,-0.3806626623178452
OLS,o_max,m000002_o_max_ord3_rk00003,0.2777580125488758,0.2662406461567889,0.011517366392086892
OLS,o_max,m000003_o_max_ord3_rk00004,0.2395059765994085,0.2662406461567889,-0.02673466955738038
OLS,o_max,m000004_o_max_ord3_rk00005,0.240215742092119,0.2662406461567889,-0.026024904064669896
OLS,o_max,m000005_o_max_ord3_rk00006,0.270462112208184,0.2662406461567889,0.0042214660513951174
OLS,o_max,m000006_o_max_ord3_rk00007,0.2359168746890332,0.2662406461567889,-0.030323771467755695
OLS,o_max,m000007_o_max_ord3_rk00008,0.2430502076775351,0.2662406461567889,-0.023190438479253783
OLS,o_max,m000008_o_max_ord3_rk00009,0.2576559614748206,0.2662406461567889,-0.008584684681968269
OLS,o_max,m000009_o_max_ord3_rk00010,0.2803762491898721,0.2662406461567889,0.0141356030330832
OLS,o_max,m000010_o_max_ord3_rk00011,0.2283359955611208,0.2662406461567889,-0.03790465059566808
OLS,o_max,m000011_o_max_ord3_rk00012,0.2728495823274895,0.2662406461567889,0.00660893617070063
OLS,o_max,m000012_o_max_ord3_rk00013,0.2793139283061011,0.2662406461567889,0.013073282149312193
OLS,o_max,m000013_o_max_ord3_rk00014,0.2561668210465526,0.2662406461567889,-0.0100738251102363
OLS,o_max,m000014_o_max_ord3_rk00015,0.2320520033638553,0.2662406461567889,-0.03418864279293357
OLS,o_max,m000015_o_max_ord3_rk00016,0.2535840613290298,0.2662406461567889,-0.01265658482775911
OLS,o_max,m000016_o_max_ord3_rk00017,0.2554474079139823,0.2662406461567889,-0.010793238242806591
OLS,o_max,m000017_o_max_ord3_rk00018,0.2744513647592844,0.2662406461567889,0.008210718602495504
OLS,o_max,m000018_o_max_ord3_rk00019,0.2836240821514375,0.2662406461567889,0.01738343599464859
OLS,o_max,m000019_o_max_ord3_rk00020,0.2498998149835777,0.2662406461567889,-0.016340831173211195
OLS,o_max,m001000_o_max_ord4_rk00001,0.2709618550245182,0.2662406461567889,0.00472120886772931
OLS,o_max,m001001_o_max_ord4_rk00002,0.1970019625747324,0.2662406461567889,-0.06923868358205648
OLS,o_max,m001002_o_max_ord4_rk00003,0.262265256579834,0.2662406461567889,-0.003975389576954869
OLS,o_max,m001003_o_max_ord4_rk00004,0.2543289153822159,0.2662406461567889,-0.01191173077457297
OLS,o_max,m001004_o_max_ord4_rk00005,0.21733446555711,0.2662406461567889,-0.04890618059967888
OLS,o_max,m001005_o_max_ord4_rk00006,0.2371110767749275,0.2662406461567889,-0.029129569381861398
OLS,o_max,m001006_o_max_ord4_rk00007,0.2753081451464525,0.2662406461567889,0.009067498989663636
OLS,o_max,m001007_o_max_ord4_rk00008,-0.0841554719622568,0.2662406461567889,-0.3503961181190457
OLS,o_max,m001008_o_max_ord4_rk00009,0.2596613701194877,0.2662406461567889,-0.006579276037301185
OLS,o_max,m001009_o_max_ord4_rk00010,0.24371529165838,0.2662406461567889,-0.022525354498408895
OLS,o_max,m001010_o_max_ord4_rk00011,0.2418020812501995,0.2662406461567889,-0.024438564906589383
OLS,o_max,m001011_o_max_ord4_rk00012,0.2624702252595968,0.2662406461567889,-0.003770420897192095
OLS,o_max,m001012_o_max_ord4_rk00013,0.2624030161993262,0.2662406461567889,-0.0038376299574626738
OLS,o_max,m001013_o_max_ord4_rk00014,0.2546713969761687,0.2662406461567889,-0.01156924918062019
OLS,o_max,m001014_o_max_ord4_rk00015,0.2682038614600803,0.2662406461567889,0.00196321530329141
OLS,o_max,m001015_o_max_ord4_rk00016,0.2605699932453067,0.2662406461567889,-0.005670652911482166
OLS,o_max,m001016_o_max_ord4_rk00017,0.2323918684950628,0.2662406461567889,-0.03384877766172609
OLS,o_max,m001017_o_max_ord4_rk00018,0.2785398637925665,0.2662406461567889,0.012299217635777626
OLS,o_max,m001018_o_max_ord4_rk00019,0.2655904833618767,0.2662406461567889,-0.0006501627949122013
OLS,o_max,m001019_o_max_ord4_rk00020,-0.0706241994049019,0.2662406461567889,-0.3368648455616908
OLS,o_max,m002000_o_max_ord5_rk00001,0.2105970935581191,0.2662406461567889,-0.05564355259866979
OLS,o_max,m002001_o_max_ord5_rk00002,0.2636549165866125,0.2662406461567889,-0.002585729570176387
OLS,o_max,m002002_o_max_ord5_rk00003,0.2277058842200453,0.2662406461567889,-0.03853476193674357
OLS,o_max,m002003_o_max_ord5_rk00004,0.1987228808804999,0.2662406461567889,-0.06751776527628897
OLS,o_max,m002004_o_max_ord5_rk00005,0.2564967594679604,0.2662406461567889,-0.009743886688828474
OLS,o_max,m002005_o_max_ord5_rk00006,0.2477233068030143,0.2662406461567889,-0.018517339353774587
OLS,o_max,m002006_o_max_ord5_rk00007,0.2644968244210295,0.2662406461567889,-0.0017438217357593766
OLS,o_max,m002007_o_max_ord5_rk00008,0.2492650955442179,0.2662406461567889,-0.016975550612570972
OLS,o_max,m002008_o_max_ord5_rk00009,0.2489750139032788,0.2662406461567889,-0.017265632253510077
OLS,o_max,m002009_o_max_ord5_rk00010,0.2430076410940194,0.2662406461567889,-0.023233005062769485
OLS,o_max,m002010_o_max_ord5_rk00011,0.2493645054764699,0.2662406461567889,-0.01687614068031898
OLS,o_max,m002011_o_max_ord5_rk00012,0.2539751305333184,0.2662406461567889,-0.012265515623470502
OLS,o_max,m002012_o_max_ord5_rk00013,0.2674033537205457,0.2662406461567889,0.001162707563756804
