model_level,objective,candidate_id,order,baseline_r2,best_single_r2
OLS,o_max,m002008_o_max_ord5_rk00009,5.0,0.21830556511390897,
OLS,o_max,m000006_o_max_ord3_rk00007,3.0,0.21830556511390897,
OLS,o_max,m000015_o_max_ord3_rk00016,3.0,0.21830556511390897,
OLS,o_max,m003015_o_max_ord6_rk00016,6.0,0.21830556511390897,
OLS,o_max,m000009_o_max_ord3_rk00010,3.0,0.21830556511390897,
OLS,o_max,m013009_o_max_ord16_rk00010,16.0,0.21830556511390897,
OLS,o_max,m000012_o_max_ord3_rk00013,3.0,0.21830556511390897,
OLS,o_max,m002002_o_max_ord5_rk00003,5.0,0.21830556511390897,
OLS,o_max,m002000_o_max_ord5_rk00001,5.0,0.21830556511390897,
OLS,o_max,m003007_o_max_ord6_rk00008,6.0,0.21830556511390897,
OLS,o_max,m001017_o_max_ord4_rk00018,4.0,0.21830556511390897,
OLS,o_max,m002011_o_max_ord5_rk00012,5.0,0.21830556511390897,
OLS,o_max,m002017_o_max_ord5_rk00018,5.0,0.21830556511390897,
OLS,o_max,m000014_o_max_ord3_rk00015,3.0,0.21830556511390897,
OLS,o_max,m002019_o_max_ord5_rk00020,5.0,0.21830556511390897,
OLS,o_max,m003011_o_max_ord6_rk00012,6.0,0.21830556511390897,
OLS,o_max,m002013_o_max_ord5_rk00014,5.0,0.21830556511390897,
OLS,o_max,m003002_o_max_ord6_rk00003,6.0,0.21830556511390897,
OLS,o_max,m012016_o_max_ord15_rk00017,15.0,0.21830556511390897,
OLS,o_max,m001012_o_max_ord4_rk00013,4.0,0.21830556511390897,
OLS,o_max,m000003_o_max_ord3_rk00004,3.0,0.21830556511390897,
OLS,o_max,m003005_o_max_ord6_rk00006,6.0,0.21830556511390897,
OLS,o_max,m000004_o_max_ord3_rk00005,3.0,0.21830556511390897,
OLS,o_max,m007014_o_max_ord10_rk00015,10.0,0.21830556511390897,
OLS,o_max,m000008_o_max_ord3_rk00009,3.0,0.21830556511390897,
OLS,o_max,m004003_o_max_ord7_rk00004,7.0,0.21830556511390897,
OLS,o_max,m003006_o_max_ord6_rk00007,6.0,0.21830556511390897,
OLS,o_max,m003017_o_max_ord6_rk00018,6.0,0.21830556511390897,
OLS,o_max,m002007_o_max_ord5_rk00008,5.0,0.21830556511390897,
d1,o_min,m048534_o_min_ord4_rk00020,4.0,0.23712987345457692,
d1,o_min,m048531_o_min_ord4_rk00017,4.0,0.23712987345457692,
d1,o_min,m048522_o_min_ord4_rk00008,4.0,0.23712987345457692,
d1,o_min,m061517_o_min_ord17_rk00003,17.0,0.23712987345457692,
d1,o_min,m050530_o_min_ord6_rk00016,6.0,0.23712987345457692,
d1,o_min,m061534_o_min_ord17_rk00020,17.0,0.23712987345457692,
d1,o_min,m047533_o_min_ord3_rk00019,3.0,0.23712987345457692,
d1,o_min,m059518_o_min_ord15_rk00004,15.0,0.23712987345457692,
d1,o_min,m061522_o_min_ord17_rk00008,17.0,0.23712987345457692,
d1,o_min,m061527_o_min_ord17_rk00013,17.0,0.23712987345457692,
d1,o_min,m053531_o_min_ord9_rk00017,9.0,0.23712987345457692,
d1,o_min,m060524_o_min_ord16_rk00010,16.0,0.23712987345457692,
d1,o_min,m052517_o_min_ord8_rk00003,8.0,0.23712987345457692,
d1,o_min,m060527_o_min_ord16_rk00013,16.0,0.23712987345457692,
d1,o_min,m059523_o_min_ord15_rk00009,15.0,0.23712987345457692,
d1,o_min,m048529_o_min_ord4_rk00015,4.0,0.23712987345457692,
d1,o_min,m060522_o_min_ord16_rk00008,16.0,0.23712987345457692,
d1,o_min,m056527_o_min_ord12_rk00013,12.0,0.23712987345457692,
d1,o_min,m052530_o_min_ord8_rk00016,8.0,0.23712987345457692,
d1,o_min,m047520_o_min_ord3_rk00006,3.0,0.23712987345457692,
d1,o_min,m052515_o_min_ord8_rk00001,8.0,0.23712987345457692,
d1,o_min,m074517_o_min_ord30_rk00003,30.0,0.23712987345457692,
d1,o_min,m056517_o_min_ord12_rk00003,12.0,0.23712987345457692,
d1,o_min,m052529_o_min_ord8_rk00015,8.0,0.23712987345457692,
d1,o_min,m048526_o_min_ord4_rk00012,4.0,0.23712987345457692,
d1,o_min,m050519_o_min_ord6_rk00005,6.0,0.23712987345457692,
d1,o_min,m047528_o_min_ord3_rk00014,3.0,0.23712987345457692,
d1,o_min,m051524_o_min_ord7_rk00010,7.0,0.23712987345457692,
d1,o_min,m048523_o_min_ord4_rk00009,4.0,0.23712987345457692,
d1,o_min,m074529_o_min_ord30_rk00015,30.0,0.23712987345457692,
d1,o_min,m059524_o_min_ord15_rk00010,15.0,0.23712987345457692,
d1,o_min,m059521_o_min_ord15_rk00007,15.0,0.23712987345457692,
d1,o_min,m049529_o_min_ord5_rk00015,5.0,0.23712987345457692,
d1,o_min,m069530_o_min_ord25_rk00016,25.0,0.23712987345457692,
d1,o_min,m051527_o_min_ord7_rk00013,7.0,0.23712987345457692,
d1,o_min,m060523_o_min_ord16_rk00009,16.0,0.23712987345457692,
d1,o_min,m057531_o_min_ord13_rk00017,13.0,0.23712987345457692,
d1,o_min,m059516_o_min_ord15_rk00002,15.0,0.23712987345457692,
d1,o_min,m053519_o_min_ord9_rk00005,9.0,0.23712987345457692,
d1,o_min,m060515_o_min_ord16_rk00001,16.0,0.23712987345457692,
d1,o_min,m053534_o_min_ord9_rk00020,9.0,0.23712987345457692,
d1,o_min,m050516_o_min_ord6_rk00002,6.0,0.23712987345457692,
d1,o_min,m058527_o_min_ord14_rk00013,14.0,0.23712987345457692,
d1,o_min,m050532_o_min_ord6_rk00018,6.0,0.23712987345457692,
d1,o_min,m055527_o_min_ord11_rk00013,11.0,0.23712987345457692,
d1,o_min,m050526_o_min_ord6_rk00012,6.0,0.23712987345457692,
d1,o_min,m055526_o_min_ord11_rk00012,11.0,0.23712987345457692,
d1,o_min,m059526_o_min_ord15_rk00012,15.0,0.23712987345457692,
d1,o_min,m061515_o_min_ord17_rk00001,17.0,0.23712987345457692,
d1,o_min,m051530_o_min_ord7_rk00016,7.0,0.23712987345457692,
d1,o_max,m021019_o_max_ord24_rk00020,24.0,0.23712987345457692,
d1,o_max,m019004_o_max_ord22_rk00005,22.0,0.23712987345457692,
d1,o_max,m013003_o_max_ord16_rk00004,16.0,0.23712987345457692,
d1,o_max,m019000_o_max_ord22_rk00001,22.0,0.23712987345457692,
d1,o_max,m018000_o_max_ord21_rk00001,21.0,0.23712987345457692,
d1,o_max,m020004_o_max_ord23_rk00005,23.0,0.23712987345457692,
d1,o_max,m018006_o_max_ord21_rk00007,21.0,0.23712987345457692,
d1,o_max,m015000_o_max_ord18_rk00001,18.0,0.23712987345457692,
d1,o_max,m026018_o_max_ord29_rk00019,29.0,0.23712987345457692,
d1,o_max,m016000_o_max_ord19_rk00001,19.0,0.23712987345457692,
d1,o_max,m020000_o_max_ord23_rk00001,23.0,0.23712987345457692,
d1,o_max,m020007_o_max_ord23_rk00008,23.0,0.23712987345457692,
d1,o_max,m014000_o_max_ord17_rk00001,17.0,0.23712987345457692,
d1,o_max,m019014_o_max_ord22_rk00015,22.0,0.23712987345457692,
d1,o_max,m017011_o_max_ord20_rk00012,20.0,0.23712987345457692,
d1,o_max,m018004_o_max_ord21_rk00005,21.0,0.23712987345457692,
d1,o_max,m020002_o_max_ord23_rk00003,23.0,0.23712987345457692,
d1,o_max,m018015_o_max_ord21_rk00016,21.0,0.23712987345457692,
d1,o_max,m026003_o_max_ord29_rk00004,29.0,0.23712987345457692,
d1,o_max,m017018_o_max_ord20_rk00019,20.0,0.23712987345457692,
d1,o_max,m025000_o_max_ord28_rk00001,28.0,0.23712987345457692,
d1,o_max,m019001_o_max_ord22_rk00002,22.0,0.23712987345457692,
d1,o_max,m022002_o_max_ord25_rk00003,25.0,0.23712987345457692,
d1,o_max,m017000_o_max_ord20_rk00001,20.0,0.23712987345457692,
d1,o_max,m026017_o_max_ord29_rk00018,29.0,0.23712987345457692,
d1,o_max,m024000_o_max_ord27_rk00001,27.0,0.23712987345457692,
d1,o_max,m021010_o_max_ord24_rk00011,24.0,0.23712987345457692,
d1,o_max,m027000_o_max_ord30_rk00001,30.0,0.23712987345457692,
d1,o_max,m025018_o_max_ord28_rk00019,28.0,0.23712987345457692,
d1,o_max,m026001_o_max_ord29_rk00002,29.0,0.23712987345457692,
d1,o_max,m026008_o_max_ord29_rk00009,29.0,0.23712987345457692,
d1,o_max,m020008_o_max_ord23_rk00009,23.0,0.23712987345457692,
d1,o_max,m012012_o_max_ord15_rk00013,15.0,0.23712987345457692,
d1,o_max,m026013_o_max_ord29_rk00014,29.0,0.23712987345457692,
d1,o_max,m000005_o_max_ord3_rk00006,3.0,0.23712987345457692,
d1,o_max,m025003_o_max_ord28_rk00004,28.0,0.23712987345457692,
d1,o_max,m025007_o_max_ord28_rk00008,28.0,0.23712987345457692,
d1,o_max,m022019_o_max_ord25_rk00020,25.0,0.23712987345457692,
d1,o_max,m012004_o_max_ord15_rk00005,15.0,0.23712987345457692,
d1,o_max,m023006_o_max_ord26_rk00007,26.0,0.23712987345457692,
d1,o_max,m026012_o_max_ord29_rk00013,29.0,0.23712987345457692,
d1,o_max,m012000_o_max_ord15_rk00001,15.0,0.23712987345457692,
d1,o_max,m027015_o_max_ord30_rk00016,30.0,0.23712987345457692,
d1,o_max,m025015_o_max_ord28_rk00016,28.0,0.23712987345457692,
d1,o_max,m025017_o_max_ord28_rk00018,28.0,0.23712987345457692,
d1,o_max,m023000_o_max_ord26_rk00001,26.0,0.23712987345457692,
d1,o_max,m026007_o_max_ord29_rk00008,29.0,0.23712987345457692,
d1,o_max,m026015_o_max_ord29_rk00016,29.0,0.23712987345457692,
d1,o_max,m027007_o_max_ord30_rk00008,30.0,0.23712987345457692,
d1,o_max,m025014_o_max_ord28_rk00015,28.0,0.23712987345457692,
d2,o_min,m047520_o_min_ord3_rk00006,3.0,0.2369244826572131,
d2,o_min,m055519_o_min_ord11_rk00005,11.0,0.2369244826572131,
d2,o_min,m050517_o_min_ord6_rk00003,6.0,0.2369244826572131,
d2,o_min,m048517_o_min_ord4_rk00003,4.0,0.2369244826572131,
d2,o_min,m052521_o_min_ord8_rk00007,8.0,0.2369244826572131,
d2,o_min,m049520_o_min_ord5_rk00006,5.0,0.2369244826572131,
d2,o_min,m048520_o_min_ord4_rk00006,4.0,0.2369244826572131,
d2,o_min,m048518_o_min_ord4_rk00004,4.0,0.2369244826572131,
d2,o_min,m061529_o_min_ord17_rk00015,17.0,0.2369244826572131,
d2,o_min,m049524_o_min_ord5_rk00010,5.0,0.2369244826572131,
d2,o_min,m058524_o_min_ord14_rk00010,14.0,0.2369244826572131,
d2,o_min,m065526_o_min_ord21_rk00012,21.0,0.2369244826572131,
d2,o_min,m057525_o_min_ord13_rk00011,13.0,0.2369244826572131,
