model_level,objective,pct_synergistic_triplets,full_r2
OLS,o_max,0.0,0.21519267107926165
OLS,o_max,0.0,0.1895135538014805
OLS,o_max,0.0,0.18922899834065288
OLS,o_max,0.0,0.20102214541539387
OLS,o_max,0.0,0.19494559791438792
OLS,o_max,0.0,0.19832711464154484
OLS,o_max,0.0,0.18838570905425722
OLS,o_max,0.0,0.19441217054742244
OLS,o_max,0.0,0.19633771337197015
OLS,o_max,0.0,0.19657672064301634
OLS,o_max,0.0,0.1925530436756704
OLS,o_max,0.0,0.19973203276440943
OLS,o_max,0.0,0.19127917607168843
OLS,o_max,0.0,0.1947733639561453
OLS,o_max,0.0,0.2090212330264294
OLS,o_max,0.0,0.2140058267683731
OLS,o_max,0.0,0.2016731889889477
OLS,o_max,0.0,0.19954217798808938
OLS,o_max,0.0,0.21044053743374824
OLS,o_max,0.0,0.20580367204915073
OLS,o_max,0.0,0.21068487049676476
OLS,o_max,0.0,0.2090838172592736
OLS,o_max,0.0,0.20201968897062128
OLS,o_max,0.0,0.2050529329719989
OLS,o_max,0.0,0.18960567303421916
OLS,o_max,0.0,0.20862398161588003
OLS,o_max,0.0,0.21221983041444825
OLS,o_max,0.0,0.19176542648999206
OLS,o_max,0.0,0.19217896382813004
OLS,o_max,0.0,0.1925324142035041
OLS,o_max,0.0,0.201860289891174
OLS,o_max,0.0,0.20006977936954107
OLS,o_max,0.0,0.18599325467068695
OLS,o_max,0.0,0.19505440022514176
OLS,o_max,0.0,0.20039318176282384
OLS,o_max,0.0,0.19168437293760177
OLS,o_max,0.0,0.1903938821029223
OLS,o_max,0.0,0.19163553019684476
OLS,o_max,0.0,0.1910721957115361
OLS,o_max,0.0,0.19027217983823042
OLS,o_max,0.0,0.1893584889174802
OLS,o_max,0.0,0.18652400400104374
OLS,o_max,0.0,0.19184426069901706
OLS,o_max,0.0,0.19096552996361027
OLS,o_max,0.0,0.19457889369414916
OLS,o_max,0.0,0.18647096329765356
OLS,o_max,0.0,0.18786343562621732
OLS,o_max,0.0,0.18913739254829076
OLS,o_max,0.0,0.189979563227191
OLS,o_max,0.0,0.1934829039800504
OLS,o_min,100.0,0.21400611550900905
OLS,o_min,100.0,0.19798778635008218
OLS,o_min,100.0,0.20666082748289016
OLS,o_min,100.0,0.20489428756615624
OLS,o_min,75.0,0.2054609710401215
OLS,o_min,75.0,0.19576024876082088
OLS,o_min,75.0,0.25107703395707104
OLS,o_min,100.0,0.24701722649799174
OLS,o_min,100.0,0.2499963921983156
OLS,o_min,50.0,0.2116510822527562
OLS,o_min,75.0,0.240850881231773
OLS,o_min,100.0,0.24803682215661627
OLS,o_min,75.0,0.24503425645344667
OLS,o_min,100.0,0.24185344524990848
OLS,o_min,25.0,0.20091386523195465
OLS,o_min,75.0,0.240787969758135
OLS,o_min,50.0,0.2006561745857104
OLS,o_min,60.0,0.20644840819018162
OLS,o_min,60.0,0.19464655080491267
OLS,o_min,50.0,0.24173738274558698
OLS,o_min,70.0,0.19931933002846636
OLS,o_min,60.0,0.2397614625257931
OLS,o_min,50.0,0.2074566156269364
OLS,o_min,60.0,0.20857871134205885
OLS,o_min,60.0,0.1968593416450033
OLS,o_min,50.0,0.23571259352951346
OLS,o_min,70.0,0.20580542669768187
OLS,o_min,50.0,0.20289838738185106
OLS,o_min,60.0,0.20477339206227763
OLS,o_min,70.0,0.2399538658550885
OLS,o_min,55.00000000000001,0.222411486295519
OLS,o_min,60.0,0.2374804067571149
OLS,o_min,65.0,0.19441359080156495
OLS,o_min,50.0,0.20000975863065562
OLS,o_min,45.0,0.20708618214053698
OLS,o_min,62.8571,0.20627917615887859
OLS,o_min,51.4286,0.21142461207210894
OLS,o_min,54.285700000000006,0.2159934733919573
OLS,o_min,45.7143,0.21804778785503143
OLS,o_min,51.4286,0.19514920766741295
OLS,o_min,51.4286,0.23757545705609318
OLS,o_min,51.7857,0.21116722067824334
OLS,o_min,57.1429,0.2002393252709811
OLS,o_min,53.571400000000004,0.20924208185966497
OLS,o_min,53.571400000000004,0.20889566105765556
OLS,o_min,48.8095,0.2090786716930496
OLS,o_min,51.6667,0.21743615269256444
OLS,o_min,45.8333,0.19434640802079417
OLS,o_min,39.393899999999995,0.19626100481164543
OLS,o_min,40.909099999999995,0.20347319605003245
d1,o_max,0.0,0.23678164553459202
d1,o_max,0.0,0.236349532934518
d1,o_max,0.0,0.23643923916889786
d1,o_max,0.0,0.23717275729540555
d1,o_max,20.1786,0.24168710761170187
d1,o_max,18.0882,0.24048178275708376
d1,o_max,16.0539,0.24139391392040854
d1,o_max,14.138300000000001,0.24082315481876138
d1,o_max,13.947399999999998,0.23932962843974592
d1,o_max,12.456100000000001,0.2402350754079472
d1,o_max,12.6316,0.2394894200261546
d1,o_max,13.082699999999999,0.24145212211845601
d1,o_max,12.781999999999998,0.24015463992950714
d1,o_max,11.8797,0.24143766376884246
d1,o_max,12.1053,0.2399847202099008
d1,o_max,12.013,0.24148275736144675
d1,o_max,12.0779,0.23937645207482572
d1,o_max,11.9481,0.24216822969571639
d1,o_max,16.883100000000002,0.2403905504012145
d1,o_max,15.528,0.24069941475399037
d1,o_max,16.4879,0.2401364850526626
d1,o_max,15.415000000000001,0.24143881386586585
d1,o_max,11.2931,0.24066051607651529
d1,o_max,20.4969,0.23758417154142697
d1,o_max,15.2668,0.2388667731520654
d1,o_max,19.1206,0.24327311964998388
d1,o_max,15.3478,0.23933675603953286
d1,o_max,0.0434783,0.23648929711441713
d1,o_max,14.230799999999999,0.23579699502127727
d1,o_max,0.0769231,0.23643788583855574
d1,o_max,15.487200000000001,0.23890573698571305
d1,o_max,16.666700000000002,0.2394806805799189
d1,o_max,0.24420000000000003,0.23674745008434883
d1,o_max,0.061050099999999996,0.2365686386153678
d1,o_max,0.24420000000000003,0.23551687801480703
d1,o_max,0.24420000000000003,0.23587456979896748
d1,o_max,1.15995,0.23580554176871005
d1,o_max,15.873000000000001,0.23838454190788838
d1,o_max,15.4899,0.23824917989205463
d1,o_max,0.0547345,0.23998415023829345
d1,o_max,1.06732,0.23575685674727231
d1,o_max,0.0547345,0.23797476387235583
d1,o_max,0.218938,0.2364125136123416
d1,o_max,1.17679,0.2370957171424236
d1,o_max,0.218938,0.23572705672147487
d1,o_max,14.231,0.2390082865272697
d1,o_max,14.723600000000001,0.24090474345931168
d1,o_max,15.197,0.23885843436040954
d1,o_max,0.197044,0.2355803551650857
d1,o_max,0.0492611,0.2360820852661758
d1,o_min,100.0,0.24236434296346154
d1,o_min,100.0,0.24212856169745722
d1,o_min,100.0,0.24428719519176323
d1,o_min,75.0,0.24487277779614292
d1,o_min,75.0,0.24211839921159084
d1,o_min,50.0,0.2421994661150777
d1,o_min,25.0,0.24257170807986805
d1,o_min,75.0,0.24589615933056042
d1,o_min,75.0,0.24712458621769784
d1,o_min,60.0,0.24205459452824807
d1,o_min,60.0,0.2416780010775994
d1,o_min,60.0,0.24213764894844725
d1,o_min,30.0,0.2415558231803423
d1,o_min,60.0,0.24450524715717836
d1,o_min,45.0,0.2416104166472649
d1,o_min,54.285700000000006,0.24212211441432052
d1,o_min,51.4286,0.24198575315925253
d1,o_min,54.285700000000006,0.24142611734853148
d1,o_min,55.3571,0.24233335442063786
d1,o_min,50.0,0.24270814760323212
d1,o_min,51.7857,0.24225025445008486
d1,o_min,48.2143,0.24243449770179548
d1,o_min,47.619,0.24182294838752483
d1,o_min,50.0,0.24300113619634256
d1,o_min,42.857099999999996,0.2416836357132044
d1,o_min,50.909099999999995,0.24155076172657364
d1,o_min,46.6667,0.24160149539219344
d1,o_min,44.0909,0.24230450723643848
d1,o_min,51.3636,0.2424699914879781
d1,o_min,40.559400000000004,0.2419370098745911
d1,o_min,45.3297,0.2416424274401382
d1,o_min,45.7143,0.24190849363123412
d1,o_min,40.2198,0.24422191364725787
d1,o_min,39.7802,0.24205792869448528
d1,o_min,45.7143,0.24260556483067108
d1,o_min,44.175799999999995,0.24206878262099407
d1,o_min,41.978,0.24148378012365346
d1,o_min,41.7857,0.24168842415925773
d1,o_min,46.25,0.2425657005059786
d1,o_min,48.0357,0.24194087278193588
d1,o_min,40.8929,0.24286047234713615
d1,o_min,45.1786,0.24263232788323952
d1,o_min,45.882400000000004,0.24144363404904257
d1,o_min,44.5588,0.24468121613630422
d1,o_min,46.9118,0.24415161290639031
d1,o_min,44.264700000000005,0.24411211316425674
d1,o_min,44.1176,0.24432689588990086
d1,o_min,49.2174,0.24198668038644477
d1,o_min,46.2069,0.2423211254175136
d1,o_min,46.3547,0.24211359834285662
d2,o_max,18.0882,0.2576752552568512
d2,o_max,14.138300000000001,0.2571150480348029
d2,o_max,13.947399999999998,0.25596794217044516
d2,o_max,0.0,0.2555413816964299
d2,o_max,0.075188,0.26040644082353936
d2,o_max,12.013,0.25601739673938273
d2,o_max,12.0779,0.2578003620953726
d2,o_max,11.9481,0.2576960761591449
d2,o_max,0.06493510000000001,0.25801122882199035
d2,o_max,16.883100000000002,0.25769151077349084
d2,o_max,15.528,0.25482972514830227
d2,o_max,16.4879,0.25709745985580124
d2,o_max,15.415000000000001,0.2575955473374084
d2,o_max,11.2931,0.2578082221539212
d2,o_max,20.4969,0.25661780449782035
d2,o_max,0.0564653,0.2600328382069157
d2,o_max,0.0,0.2550872143331393
d2,o_max,0.0494071,0.26096639664365706
d2,o_max,0.0434783,0.2602138098636002
d2,o_max,0.0434783,0.2603367695939732
d2,o_max,0.0769231,0.26437075282574485
d2,o_max,0.038461499999999996,0.2637688791522751
d2,o_max,0.038461499999999996,0.2573743577845309
d2,o_max,0.0683761,0.2571742118331385
d2,o_max,0.854701,0.25706294270215213
d2,o_max,0.763126,0.2629900318852172
d2,o_max,0.24420000000000003,0.26450921418150397
d2,o_max,0.061050099999999996,0.2548154875758377
d2,o_max,0.061050099999999996,0.2649521423681267
d2,o_max,0.48840000000000006,0.255394743421997
d2,o_max,0.24420000000000003,0.2568770931546245
d2,o_max,0.24420000000000003,0.255435343975273
d2,o_max,1.15995,0.26098437728929347
d2,o_max,1.23153,0.25784106948012053
d2,o_max,0.0547345,0.2557194425356909
d2,o_max,0.0547345,0.25760924989399037
d2,o_max,0.711549,0.2615130711254695
d2,o_max,1.06732,0.2612671177928111
d2,o_max,0.0547345,0.2573479816517772
d2,o_max,0.60208,0.2572366134857914
d2,o_max,0.218938,0.26125950617746607
d2,o_max,1.17679,0.25740788134709813
d2,o_max,14.231,0.2609119177139697
d2,o_max,14.723600000000001,0.26329200955469023
d2,o_max,0.465244,0.25545697552460433
d2,o_max,1.4532,0.2558405218445695
d2,o_max,1.6748800000000001,0.2558812762747601
d2,o_max,0.197044,0.25707552115071186
d2,o_max,0.985222,0.2611120204106049
d2,o_max,0.640394,0.25854356787844823
d2,o_min,100.0,0.2612331281291119
d2,o_min,75.0,0.2606464824357838
d2,o_min,100.0,0.2597954957679901
d2,o_min,75.0,0.25699221147621765
d2,o_min,100.0,0.26018194885652235
d2,o_min,75.0,0.25706305565113496
d2,o_min,100.0,0.25803798635377184
d2,o_min,100.0,0.25780267805418167
d2,o_min,25.0,0.25877206186966806
d2,o_min,75.0,0.25769688771060706
d2,o_min,60.0,0.26028828129008996
d2,o_min,60.0,0.2596055338378044
d2,o_min,60.0,0.2584147071727312
d2,o_min,50.0,0.26074167756910427
d2,o_min,51.4286,0.2567419866758166
d2,o_min,48.2143,0.26053004128403545
d2,o_min,55.3571,0.25693073654412224
d2,o_min,58.928599999999996,0.2565370809681442
d2,o_min,50.0,0.2589561791803927
d2,o_min,50.0,0.25770576799218947
d2,o_min,38.181799999999996,0.2608644997035109
d2,o_min,46.6667,0.25755922129784947
d2,o_min,44.0909,0.25639229543370334
d2,o_min,39.860099999999996,0.2589743946873614
d2,o_min,42.6573,0.25855477313610864
d2,o_min,34.6154,0.2590144857803639
d2,o_min,43.4066,0.2594154902028496
d2,o_min,37.3626,0.2580542927981395
d2,o_min,45.3297,0.2573006695467377
d2,o_min,40.109899999999996,0.256636241589533
d2,o_min,44.1071,0.2575118988231774
d2,o_min,48.0357,0.2572730965482357
d2,o_min,46.7647,0.25887114256914545
d2,o_min,50.0,0.25893979834220116
d2,o_min,51.3235,0.2574725598832095
d2,o_min,45.882400000000004,0.2596634777937349
d2,o_min,45.1471,0.2580334751047052
d2,o_min,47.7941,0.25709410553456835
d2,o_min,49.2647,0.25818975875449646
d2,o_min,47.181400000000004,0.25826433064821985
d2,o_min,48.774499999999996,0.2584499423282598
d2,o_min,49.8452,0.25776021946622096
d2,o_min,48.297200000000004,0.2563186770175374
d2,o_min,49.9484,0.25713849772970043
d2,o_min,45.188,0.25939489891226153
d2,o_min,49.2942,0.25724251222426686
d2,o_min,47.0696,0.2576580085891751
d2,o_min,46.9475,0.2582649559272868
d2,o_min,46.2069,0.25782781951377476
d2,o_min,45.6404,0.25745781492509123
d3,o_max,0.0,0.2566388855951405
d3,o_max,18.0882,0.25717088913317443
d3,o_max,16.0539,0.25575427901068226
d3,o_max,13.082699999999999,0.25721544555136333
d3,o_max,11.8797,0.2578559016157319
d3,o_max,0.075188,0.25846775607465666
d3,o_max,0.06493510000000001,0.25795544158186035
d3,o_max,16.4879,0.25672035944995186
d3,o_max,0.0564653,0.2627362077025093
d3,o_max,0.0,0.26079310487820995
d3,o_max,0.0,0.2563967925611741
d3,o_max,0.0494071,0.25730598757857925
d3,o_max,0.0,0.2565379482864075
d3,o_max,0.0434783,0.2611967133695249
d3,o_max,0.0434783,0.259531074749595
d3,o_max,1.0,0.25590293589062907
d3,o_max,0.0,0.25584747770484195
d3,o_max,0.038461499999999996,0.2609072061656249
d3,o_max,0.884615,0.2578242255345409
d3,o_max,0.0769231,0.26155487520896026
d3,o_max,0.9230769999999999,0.26053303611098333
d3,o_max,0.038461499999999996,0.2612644839314252
d3,o_max,0.038461499999999996,0.2573660369076314
d3,o_max,0.884615,0.2581003291386865
d3,o_max,0.0683761,0.2642733064973639
d3,o_max,0.854701,0.258750738053126
d3,o_max,0.512821,0.26067991927377965
d3,o_max,0.763126,0.25901098549671064
d3,o_max,0.24420000000000003,0.260481934176636
d3,o_max,0.061050099999999996,0.25936747154182926
d3,o_max,0.48840000000000006,0.2668202796255392
d3,o_max,1.15995,0.2570261507369598
d3,o_max,0.0547345,0.25947368474526067
d3,o_max,0.0547345,0.256012720199396
d3,o_max,0.711549,0.26454609974408483
d3,o_max,1.8062399999999998,0.25667769336574353
d3,o_max,1.06732,0.26178698361667463
d3,o_max,0.0547345,0.2581480655710635
d3,o_max,0.60208,0.25978949996249945
d3,o_max,0.437876,0.26254194258037933
d3,o_max,0.218938,0.27055189615611996
d3,o_max,14.231,0.2598040490026504
d3,o_max,14.723600000000001,0.25775891399724826
d3,o_max,0.465244,0.2631815113225894
d3,o_max,1.10837,0.2562271781517975
d3,o_max,1.99507,0.256493546968102
d3,o_max,0.985222,0.26066271359330206
d3,o_max,0.541872,0.257736522217906
d3,o_max,0.615764,0.26027276019479817
d3,o_max,0.640394,0.2624916316421987
d3,o_min,100.0,0.25934016313257935
d3,o_min,100.0,0.2572412165346586
d3,o_min,100.0,0.25652928135420683
d3,o_min,100.0,0.25724507578139855
d3,o_min,100.0,0.25847563570994503
d3,o_min,75.0,0.2571974787127185
d3,o_min,75.0,0.2601147951983991
d3,o_min,100.0,0.2591473792610599
d3,o_min,100.0,0.25972458449144864
d3,o_min,50.0,0.25949429177895467
d3,o_min,75.0,0.2575300208769179
d3,o_min,100.0,0.25820434310406737
d3,o_min,25.0,0.26026390523969123
d3,o_min,75.0,0.26727931442597974
d3,o_min,60.0,0.2667933693927603
d3,o_min,60.0,0.2612380474803312
d3,o_min,60.0,0.2636044521958609
d3,o_min,54.285700000000006,0.2569702802721534
d3,o_min,51.4286,0.2582618802203188
d3,o_min,48.5714,0.2565535229161674
d3,o_min,51.7857,0.25810171940674276
d3,o_min,48.2143,0.25917453912348154
d3,o_min,58.928599999999996,0.2572451071374037
d3,o_min,55.3571,0.25691501954876284
d3,o_min,46.6667,0.25751362760071317
d3,o_min,51.3636,0.25746935023473394
d3,o_min,49.107099999999996,0.2592758894282102
d3,o_min,48.235299999999995,0.25675768816267386
d3,o_min,51.3235,0.2576092200549607
d3,o_min,49.2647,0.26095708563409026
d3,o_min,48.774499999999996,0.2607507845147454
d3,o_min,50.1548,0.2566340201787326
d3,o_min,49.4324,0.2592146858694727
d3,o_min,48.4004,0.2596405313595175
d3,o_min,45.8204,0.25842246532229085
d3,o_min,50.350899999999996,0.25730726387383807
d3,o_min,50.350899999999996,0.2581394404330839
d3,o_min,51.052600000000005,0.2581452660538943
d3,o_min,48.245599999999996,0.2572259995357542
d3,o_min,46.578900000000004,0.25805904822267123
d3,o_min,47.1429,0.258051474948207
d3,o_min,46.6234,0.26236076551081866
d3,o_min,48.051899999999996,0.25954191091678624
d3,o_min,47.5325,0.2611706496044861
d3,o_min,49.4156,0.25776561664681585
d3,o_min,50.3896,0.25763992376055156
d3,o_min,46.5415,0.2570232338568803
d3,o_min,47.1612,0.25686320102146365
d3,o_min,46.9475,0.2602806851567073
d3,o_min,46.3547,0.2571756255952228
