objective,objective_label,country,diagnosis_label,median_residual,n_subjects
o_min,Synergy arm,Canada,,-1.356223756839859,4
o_min,Synergy arm,China,HC,1.0374011349216004,846
o_min,Synergy arm,Mexico,AD,1.2553459231513062,63
o_min,Synergy arm,Mexico,HC,-0.1533764445489044,176
o_min,Synergy arm,Mexico,FTLD,-1.6938087236547847,11
o_min,Synergy arm,Switzerland,HC,-0.9137446888218994,181
o_min,Synergy arm,Netherlands,AD,-0.7302675304919433,15
o_min,Synergy arm,Netherlands,HC,-1.7084370526158448,23
o_min,Synergy arm,Netherlands,,0.10390845968438735,24
o_min,Synergy arm,Peru,AD,-0.0358945413648683,153
o_min,Synergy arm,Peru,HC,1.6598585049604646,260
o_min,Synergy arm,Peru,FTLD,0.6320957288925781,75
o_min,Synergy arm,United Kingdom,HC,0.7074914866188964,605
o_min,Synergy arm,United Kingdom,,-0.6818127186493835,22
o_min,Synergy arm,Sweden,HC,0.6474237855438232,84
o_min,Synergy arm,Colombia,AD,-0.1074379542093506,243
o_min,Synergy arm,Colombia,HC,0.1203852245684813,135
o_min,Synergy arm,Colombia,FTLD,-1.6726192809272469,141
o_min,Synergy arm,Japan,HC,-0.34493578858593743,838
o_min,Synergy arm,South Africa,HC,0.2907865065214233,68
