objective,rung,model_id,order,global_oof_r2,shannon_h,n_domains,dominant_domain
o_min,xgb_tree_d3,m049523_o_min_ord5_rk00009,5,0.4584363105509327,1.5219280948873621,3,Precipitation/droughts
o_min,xgb_tree_d3,m049524_o_min_ord5_rk00010,5,0.4156734745899521,1.9219280948873623,4,Air Pollution
o_min,xgb_tree_d3,m049525_o_min_ord5_rk00011,5,0.41188779201167636,1.5219280948873621,3,Air Pollution
o_min,xgb_tree_d3,m049526_o_min_ord5_rk00012,5,0.41045808280132845,1.5219280948873621,3,Air Pollution
o_min,xgb_tree_d3,m049527_o_min_ord5_rk00013,5,0.4163489574053256,1.9219280948873623,4,Air Pollution
o_min,xgb_tree_d3,m049528_o_min_ord5_rk00014,5,0.46762988264523697,1.5219280948873621,3,Precipitation/droughts
o_min,xgb_tree_d3,m049529_o_min_ord5_rk00015,5,0.40980016571159417,1.3709505944546687,3,Air Pollution
o_min,xgb_tree_d3,m049530_o_min_ord5_rk00016,5,0.4263908020386933,1.5219280948873621,3,Air Pollution
o_min,xgb_tree_d3,m049531_o_min_ord5_rk00017,5,0.454847758004409,1.9219280948873623,4,Precipitation/droughts
o_min,xgb_tree_d3,m049532_o_min_ord5_rk00018,5,0.41964561656746924,1.5219280948873621,3,Air Pollution
o_min,xgb_tree_d3,m049533_o_min_ord5_rk00019,5,0.41212818103021187,1.5219280948873621,3,Air Pollution
o_min,xgb_tree_d3,m049534_o_min_ord5_rk00020,5,0.44600395892328537,1.9219280948873623,4,Precipitation/droughts
o_min,xgb_tree_d3,m050515_o_min_ord6_rk00001,6,0.4486877160906123,1.4591479170272448,3,Democracy
o_min,xgb_tree_d3,m050516_o_min_ord6_rk00002,6,0.4259402878119878,1.9182958340544896,4,Air Pollution
o_min,xgb_tree_d3,m050517_o_min_ord6_rk00003,6,0.4112462714411458,1.7924812503605778,4,Air Pollution
o_min,xgb_tree_d3,m050518_o_min_ord6_rk00004,6,0.41651170097122814,1.9182958340544896,4,Air Pollution
o_min,xgb_tree_d3,m050519_o_min_ord6_rk00005,6,0.42587692603572036,1.9182958340544893,4,Air Pollution
o_min,xgb_tree_d3,m050520_o_min_ord6_rk00006,6,0.42586047640571145,1.9182958340544893,4,Air Pollution
o_min,xgb_tree_d3,m050521_o_min_ord6_rk00007,6,0.45494931261124827,1.9182958340544893,4,Precipitation/droughts
o_min,xgb_tree_d3,m050522_o_min_ord6_rk00008,6,0.4315951983466906,1.9182958340544893,4,Air Pollution
o_min,xgb_tree_d3,m050523_o_min_ord6_rk00009,6,0.4464070208008425,1.9182958340544896,4,Precipitation/droughts
o_min,xgb_tree_d3,m050524_o_min_ord6_rk00010,6,0.4443868585805951,2.2516291673878226,5,Precipitation/droughts
o_min,xgb_tree_d3,m050525_o_min_ord6_rk00011,6,0.4422556189074337,1.4591479170272448,3,Democracy
o_min,xgb_tree_d3,m050526_o_min_ord6_rk00012,6,0.4495104734176246,1.9182958340544896,4,Precipitation/droughts
o_min,xgb_tree_d3,m050527_o_min_ord6_rk00013,6,0.4220102327064803,1.9182958340544893,4,Air Pollution
o_min,xgb_tree_d3,m050528_o_min_ord6_rk00014,6,0.4191593173311894,1.4591479170272448,3,Socioeconomic
o_min,xgb_tree_d3,m050529_o_min_ord6_rk00015,6,0.4353064480996366,1.9182958340544893,4,Air Pollution
o_min,xgb_tree_d3,m050530_o_min_ord6_rk00016,6,0.41402213962115486,1.9182958340544896,4,Air Pollution
o_min,xgb_tree_d3,m050531_o_min_ord6_rk00017,6,0.4261180472441807,1.584962500721156,3,Air Pollution
o_min,xgb_tree_d3,m050532_o_min_ord6_rk00018,6,0.4176609739325309,1.7924812503605778,4,Air Pollution
o_min,xgb_tree_d3,m050533_o_min_ord6_rk00019,6,0.4397429954784231,1.9182958340544896,4,Precipitation/droughts
o_min,xgb_tree_d3,m050534_o_min_ord6_rk00020,6,0.44515519377806323,2.2516291673878226,5,Precipitation/droughts
o_min,xgb_tree_d3,m051515_o_min_ord7_rk00001,7,0.4602074769231608,2.2359263506290326,5,Precipitation/droughts
o_min,xgb_tree_d3,m051516_o_min_ord7_rk00002,7,0.4526739386430104,1.3787834934861753,3,Democracy
o_min,xgb_tree_d3,m051517_o_min_ord7_rk00003,7,0.43315786262130906,2.2359263506290326,5,Precipitation/droughts
o_min,xgb_tree_d3,m051518_o_min_ord7_rk00004,7,0.4286378358741747,1.9502120649147465,4,Air Pollution
o_min,xgb_tree_d3,m051519_o_min_ord7_rk00005,7,0.4508753994373027,1.3787834934861753,3,Democracy
o_min,xgb_tree_d3,m051520_o_min_ord7_rk00006,7,0.4168208071062153,2.1280852788913944,5,Air Pollution
o_min,xgb_tree_d3,m051521_o_min_ord7_rk00007,7,0.4500981985508793,2.2359263506290326,5,Precipitation/droughts
o_min,xgb_tree_d3,m051522_o_min_ord7_rk00008,7,0.45346156634180756,2.2359263506290326,5,Precipitation/droughts
o_min,xgb_tree_d3,m051523_o_min_ord7_rk00009,7,0.45175001058454456,1.9502120649147465,4,Precipitation/droughts
o_min,xgb_tree_d3,m051524_o_min_ord7_rk00010,7,0.4281850754931945,1.8423709931771088,4,Air Pollution
o_min,xgb_tree_d3,m051525_o_min_ord7_rk00011,7,0.4214814311678272,1.950212064914747,4,Air Pollution
o_min,xgb_tree_d3,m051526_o_min_ord7_rk00012,7,0.4417464104175818,1.8423709931771086,4,Democracy
o_min,xgb_tree_d3,m051527_o_min_ord7_rk00013,7,0.4254870052036521,1.8423709931771088,4,Air Pollution
o_min,xgb_tree_d3,m051528_o_min_ord7_rk00014,7,0.41883107896647753,1.8423709931771088,4,Air Pollution
o_min,xgb_tree_d3,m051529_o_min_ord7_rk00015,7,0.43948401845806007,1.8423709931771086,4,Democracy
o_min,xgb_tree_d3,m051530_o_min_ord7_rk00016,7,0.4294100274392182,1.9502120649147465,4,Air Pollution
o_min,xgb_tree_d3,m051531_o_min_ord7_rk00017,7,0.44605122889428217,1.5566567074628228,3,Democracy
o_min,xgb_tree_d3,m051532_o_min_ord7_rk00018,7,0.442375676184514,1.8423709931771086,4,Democracy
o_min,xgb_tree_d3,m051533_o_min_ord7_rk00019,7,0.46653715688393727,1.8423709931771086,4,Democracy
