model_level,objective,pct_synergistic_triplets,full_r2
OLS,o_max,0.0,0.4214235609181253
OLS,o_max,0.0,0.39967148937220076
OLS,o_max,0.0,0.426784513282653
OLS,o_max,0.0,0.4249093545124668
OLS,o_max,0.0,0.4195995628600456
OLS,o_max,0.0,0.39820999562770076
OLS,o_max,0.0,0.4263328863226924
OLS,o_max,0.0,0.4154525484413155
OLS,o_max,0.0,0.41768956530859125
OLS,o_max,0.0,0.4138635673464792
OLS,o_max,0.0,0.4174036466274874
OLS,o_max,0.0,0.4232546941719053
OLS,o_max,0.0,0.4183791868301434
OLS,o_max,0.0,0.4132112140156061
OLS,o_max,0.0,0.4244838675238811
OLS,o_max,0.0,0.431220000494668
OLS,o_max,0.0,0.4121067320506222
OLS,o_max,0.0,0.41913532444040313
OLS,o_max,0.0,0.4203856182638571
OLS,o_max,0.0,0.41939867826233956
OLS,o_max,0.0,0.4171703375261695
OLS,o_max,0.0,0.4052300226469626
OLS,o_max,0.0,0.40035743384961464
OLS,o_max,0.0,0.42075041501548305
OLS,o_max,0.0,0.4059162529640754
OLS,o_max,0.0,0.4020178075611508
OLS,o_max,0.0,0.4149173769843266
OLS,o_max,0.0,0.4134580237366826
OLS,o_max,0.0,0.39606283578505774
OLS,o_max,0.0,0.40317464591671126
OLS,o_max,0.0,0.403655851989299
OLS,o_max,0.0,0.4115323070767184
OLS,o_max,0.0,0.4222710436319469
OLS,o_max,0.0,0.4019870611290155
OLS,o_max,0.0,0.42102367197563884
OLS,o_max,0.0,0.3974479869197559
OLS,o_max,0.0,0.41347623269520417
OLS,o_max,0.0,0.4020654591410475
OLS,o_max,0.0,0.39549191681618046
OLS,o_max,0.0,0.40314972148421735
OLS,o_max,0.0,0.40604375883217747
OLS,o_max,0.0,0.4062251893188117
OLS,o_max,0.0,0.4025050968627102
OLS,o_max,0.0,0.39893978472130287
OLS,o_max,0.0,0.4052963486921213
OLS,o_max,0.0,0.39559943232446904
OLS,o_max,0.0,0.4025076342269138
OLS,o_max,0.0,0.4232675947632867
OLS,o_max,0.0,0.4019931620404773
OLS,o_max,0.0,0.39801357742418153
OLS,o_min,100.0,0.4106726688061638
OLS,o_min,100.0,0.38323360011485397
OLS,o_min,100.0,0.410760524010335
OLS,o_min,100.0,0.41050179809196485
OLS,o_min,100.0,0.4195443484437015
OLS,o_min,100.0,0.4020565276625464
OLS,o_min,100.0,0.42577750235083234
OLS,o_min,100.0,0.3989759669384668
OLS,o_min,100.0,0.41158227651343304
OLS,o_min,100.0,0.3795936563691943
OLS,o_min,100.0,0.3920027485681097
OLS,o_min,100.0,0.42400446194939556
OLS,o_min,100.0,0.401947574338547
OLS,o_min,75.0,0.41745488545040876
OLS,o_min,25.0,0.3957817742473889
OLS,o_min,50.0,0.38314553801915907
OLS,o_min,60.0,0.38789608178724433
