model_level,objective,candidate_id,full_r2,baseline_r2,best_single_r2
OLS,o_min,m048517_o_min_ord4_rk00003,0.25107703395707104,0.21830556511390897,0.2303020596862248
OLS,o_min,m048520_o_min_ord4_rk00006,0.2499963921983156,0.21830556511390897,0.2303020596862248
OLS,o_min,m048525_o_min_ord4_rk00011,0.24803682215661627,0.21830556511390897,0.2303020596862248
OLS,o_min,m048518_o_min_ord4_rk00004,0.24701722649799174,0.21830556511390897,0.2303020596862248
OLS,o_min,m048527_o_min_ord4_rk00013,0.24503425645344667,0.21830556511390897,0.2303020596862248
OLS,o_min,m048528_o_min_ord4_rk00014,0.24185344524990848,0.21830556511390897,0.2303020596862248
OLS,o_min,m049517_o_min_ord5_rk00003,0.24173738274558698,0.21830556511390897,0.2303020596862248
OLS,o_min,m048523_o_min_ord4_rk00009,0.240850881231773,0.21830556511390897,0.2303020596862248
OLS,o_min,m048530_o_min_ord4_rk00016,0.240787969758135,0.21830556511390897,0.2303020596862248
OLS,o_min,m049534_o_min_ord5_rk00020,0.2399538658550885,0.21830556511390897,0.2303020596862248
OLS,o_min,m049521_o_min_ord5_rk00007,0.2397614625257931,0.21830556511390897,0.2303020596862248
OLS,o_min,m051534_o_min_ord7_rk00020,0.23757545705609318,0.21830556511390897,0.2303020596862248
OLS,o_min,m050524_o_min_ord6_rk00010,0.2374804067571149,0.21830556511390897,0.2303020596862248
OLS,o_min,m049527_o_min_ord5_rk00013,0.23571259352951346,0.21830556511390897,0.2303020596862248
OLS,o_min,m050515_o_min_ord6_rk00001,0.222411486295519,0.21830556511390897,0.2303020596862248
OLS,o_min,m051529_o_min_ord7_rk00015,0.21804778785503143,0.21830556511390897,0.2303020596862248
OLS,o_min,m054515_o_min_ord10_rk00001,0.21743615269256444,0.21830556511390897,0.2303020596862248
OLS,o_min,m051526_o_min_ord7_rk00012,0.2159934733919573,0.21830556511390897,0.2303020596862248
OLS,o_min,m047517_o_min_ord3_rk00003,0.21400611550900905,0.21830556511390897,0.2303020596862248
OLS,o_min,m048521_o_min_ord4_rk00007,0.2116510822527562,0.21830556511390897,0.2303020596862248
OLS,o_min,m051519_o_min_ord7_rk00005,0.21142461207210894,0.21830556511390897,0.2303020596862248
