objective,set_size,shannon_h_mean,shannon_h_minus_1sd,shannon_h_plus_1sd
o_min,3,1.2234888131959158,0.8219162945506107,1.625061331841221
o_min,4,1.4986669124632208,1.1558795224336,1.8414543024928416
o_min,5,1.709116659838035,1.4077868660699528,2.010446453606117
o_min,6,1.8989369256360595,1.63902826375792,2.158845587514199
o_min,7,2.008368437992734,1.7467784710502157,2.2699584049352524
o_min,8,2.10602650504274,1.8553416998028347,2.3567113102826456
o_min,9,2.19660251534325,1.9692942513994016,2.4239107792870977
o_min,10,2.279572855219529,2.063146762636454,2.4959989478026037
o_min,11,2.353032629394268,2.147853552132939,2.558211706655597
o_min,12,2.4191090406635363,2.215939491186803,2.6222785901402696
o_min,13,2.4926400849949997,2.296211141814098,2.6890690281759015
o_min,14,2.558408338806803,2.368269117104887,2.7485475605087193
o_min,15,2.6173398482092316,2.4340740331623283,2.800605663256135
o_min,16,2.6526499520011777,2.4752144334004877,2.8300854706018677
o_min,17,2.6747044545909597,2.5076482795868853,2.841760629595034
o_min,18,2.683368326418924,2.5286502125160504,2.838086440321798
o_min,19,2.6997814239230076,2.5584639343842652,2.84109891346175
o_min,20,2.723582165358737,2.5898619303018364,2.8573024004156373
o_min,21,2.744472858436549,2.616634879083407,2.872310837789691
o_min,22,2.771350923822387,2.6528010885354187,2.8899007591093553
o_min,23,2.792741365103158,2.6883002904921107,2.897182439714205
o_min,24,2.811784816400656,2.7183988973684254,2.905170735432886
o_min,25,2.8261220989037765,2.7437136939602276,2.9085305038473255
o_min,26,2.8370147240913814,2.7611935069111886,2.9128359412715743
o_min,27,2.841540313784505,2.768004355744282,2.9150762718247276
o_min,28,2.8372159383070974,2.7604261409101394,2.9140057357040554
o_min,29,2.8381455383961582,2.7578455751878503,2.918445501604466
o_min,30,2.8508777183737477,2.7750792309689714,2.926676205778524
o_max,3,0.1452280834342952,-0.22717920632534203,0.5176353731939324
o_max,4,0.2455721592132807,-0.1299112638454206,0.621055582271982
o_max,5,0.2916589503344943,-0.06258933415198037,0.6459072348209689
o_max,6,0.2892599776335176,-0.03377893099320617,0.6122988862602413
o_max,7,0.29399234954964926,-0.003994131973182158,0.5919788310724807
o_max,8,0.2834130870643692,0.009467169758052896,0.5573590043706855
o_max,9,0.2697464674397462,0.018770370332636066,0.5207225645468563
o_max,10,0.2722181105308465,0.023490457155856764,0.5209457639058362
o_max,11,0.2862439492458939,0.049640878109206255,0.5228470203825816
o_max,12,0.25874427289453344,0.04385332107676129,0.47363522471230557
o_max,13,0.266545085833705,0.061803661017583195,0.47128651064982685
o_max,14,0.2812814693275883,0.07618448576888406,0.48637845288629256
o_max,15,0.2970746701889011,0.09231393419787043,0.5018354061799317
o_max,16,0.3067778821253696,0.10060260228059048,0.5129531619701487
o_max,17,0.3327912626641224,0.09924151753488597,0.5663410077933588
o_max,18,0.3646833649562694,0.09021798848034795,0.6391487414321908
o_max,19,0.4077301841670795,0.09600595191155487,0.7194544164226042
o_max,20,0.45410340646458097,0.114403446428746,0.7938033665004159
o_max,21,0.5009905551373585,0.12972353267910636,0.8722575775956105
o_max,22,0.568086162012278,0.16397122576567325,0.9722010982588828
o_max,23,0.6764388197393006,0.2462142147593458,1.1066634247192555
o_max,24,0.8369425076164746,0.413296227874181,1.2605887873587682
o_max,25,0.991708604450542,0.6305067345376243,1.3529104743634597
o_max,26,1.0998715544630473,0.8224008235706974,1.3773422853553972
o_max,27,1.1499236097609233,0.9240483976739914,1.3757988218478552
o_max,28,1.1889955448615668,0.9902941768654014,1.3876969128577321
o_max,29,1.2526952349540879,1.0658922892322718,1.439498180675904
o_max,30,1.3098359474126335,1.133574115975986,1.486097778849281
