objective,rung,model_id,model_rank,global_oof_r2,order,variable,domain
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,Nitrogen oxide (NOx),Air Pollution
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,Sulphur dioxide (SO₂) emissions,Air Pollution
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,agri_emp_o,Soil and water quality
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,maxgtemp_o,Temperature
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,mean_anomalies_o,Temperature
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,mean_anomalies_areaw_o,Temperature
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,sd_lr_o,Temperature
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,mean_prec2_areaw_o,Precipitation/droughts
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,mean_prec2_o,Precipitation/droughts
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,mean_temp_areaw_o,Temperature
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,scpdsi_o,Precipitation/droughts
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,scpdsi_aw_o,Precipitation/droughts
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,Pop_basic_drinking-water(%),Soil and water quality
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,Poisoning_mortality_rate,Soil and water quality
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,deaths_trans,Disease-related mortality
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,GINI,Socioeconomic
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,unemp,Socioeconomic
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,local_dem_est,Democracy
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,free_relig_est,Democracy
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,basic_welf_est,Democracy
o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,3,0.47399802218251863,26,soc_grp_equal_est,Democracy
