objective,arm_label,n_candidates,slope_beta_h,intercept,pearson_r,p_value,stderr
o_max,Max O-info,560,0.010187034343531609,0.24156761602632704,0.7282296934358935,1.2549982150374824e-93,0.00040584857091387764
o_min,Min O-info,560,0.0005002508938939371,0.24746841584796256,0.042093948580307676,0.32005755574871947,0.000502650365946994
