objective,arm_label,n_candidates,slope_beta_h,intercept,pearson_r,p_value,stderr
o_max,Max O-info,560,0.0037502408294360257,0.42618585676176646,0.1048646615278406,0.013033422877004788,0.0015056075773050267
o_min,Min O-info,560,0.0145934601423856,0.4062863683819023,0.5184172213045499,7.673280165976457e-40,0.001019043660057214
