model_level,objective,candidate_id,full_r2,baseline_r2,best_single_r2
OLS,o_min,m050526_o_min_ord6_rk00012,0.43299704937131556,0.4356486069738752,0.4466711121222795
OLS,o_min,m049528_o_min_ord5_rk00014,0.42853578482823185,0.4356486069738752,0.4466711121222795
OLS,o_min,m050523_o_min_ord6_rk00009,0.42684245887230765,0.4356486069738752,0.4466711121222795
OLS,o_min,m047524_o_min_ord3_rk00010,0.42577750235083234,0.4356486069738752,0.4466711121222795
OLS,o_min,m047533_o_min_ord3_rk00019,0.42400446194939556,0.4356486069738752,0.4466711121222795
OLS,o_min,m049518_o_min_ord5_rk00004,0.4228587132548228,0.4356486069738752,0.4466711121222795
OLS,o_min,m049523_o_min_ord5_rk00009,0.42258545200006836,0.4356486069738752,0.4466711121222795
OLS,o_min,m049522_o_min_ord5_rk00008,0.4222779790906802,0.4356486069738752,0.4466711121222795
OLS,o_min,m047522_o_min_ord3_rk00008,0.4195443484437015,0.4356486069738752,0.4466711121222795
OLS,o_min,m048515_o_min_ord4_rk00001,0.41745488545040876,0.4356486069738752,0.4466711121222795
OLS,o_min,m047527_o_min_ord3_rk00013,0.41158227651343304,0.4356486069738752,0.4466711121222795
OLS,o_min,m047518_o_min_ord3_rk00004,0.410760524010335,0.4356486069738752,0.4466711121222795
OLS,o_min,m047516_o_min_ord3_rk00002,0.4106726688061638,0.4356486069738752,0.4466711121222795
OLS,o_min,m047521_o_min_ord3_rk00007,0.41050179809196485,0.4356486069738752,0.4466711121222795
OLS,o_min,m051534_o_min_ord7_rk00020,0.40302798533010975,0.4356486069738752,0.4466711121222795
OLS,o_min,m049519_o_min_ord5_rk00005,0.4027736553376964,0.4356486069738752,0.4466711121222795
OLS,o_min,m047523_o_min_ord3_rk00009,0.4020565276625464,0.4356486069738752,0.4466711121222795
OLS,o_min,m047534_o_min_ord3_rk00020,0.401947574338547,0.4356486069738752,0.4466711121222795
OLS,o_min,m047525_o_min_ord3_rk00011,0.3989759669384668,0.4356486069738752,0.4466711121222795
OLS,o_min,m050520_o_min_ord6_rk00006,0.3960377129238678,0.4356486069738752,0.4466711121222795
OLS,o_min,m051526_o_min_ord7_rk00012,0.39582656890234025,0.4356486069738752,0.4466711121222795
OLS,o_min,m048529_o_min_ord4_rk00015,0.3957817742473889,0.4356486069738752,0.4466711121222795
OLS,o_min,m050524_o_min_ord6_rk00010,0.3942958353146001,0.4356486069738752,0.4466711121222795
OLS,o_min,m050522_o_min_ord6_rk00008,0.39404145616125963,0.4356486069738752,0.4466711121222795
