source_label,order,min_o_info,max_o_info
ols,3,-0.0786033774890782,0.158316556367671
ols,4,-0.1361777840585668,0.2203159062817217
ols,5,-0.1997146088572585,0.2695542137433478
ols,6,-0.1743037537931218,0.307252199399646
ols,7,-0.1432462493201878,0.3471028382678118
ols,8,-0.1054552856190471,0.388978293838589
ols,9,-0.0510471764779485,0.3397042008833333
ols,10,0.2737135326344146,0.2737135326344146
xgb_tree_d1,3,-0.098414117111681,0.1853973628229481
xgb_tree_d1,4,-0.1195549700503142,0.2692919080700757
xgb_tree_d1,5,-0.0907182736941392,0.3456238816556656
xgb_tree_d1,6,-0.0692643879843079,0.3847583622943336
xgb_tree_d1,7,-0.0618915221654219,0.4087979450217065
xgb_tree_d1,8,0.0010969792094818,0.4881877334403866
xgb_tree_d1,9,0.1668874980192518,0.490676478088035
xgb_tree_d1,10,0.4798576648918526,0.4798576648918526
xgb_tree_d2,3,-0.1219707024849776,0.197694971226494
xgb_tree_d2,4,-0.1183299047793712,0.4070340620017825
xgb_tree_d2,5,-0.1301493802576161,0.510990890248864
xgb_tree_d2,6,-0.0868341688162076,0.6639789396796407
xgb_tree_d2,7,-0.019235027157622,0.6806021049723248
xgb_tree_d2,8,0.0686131149416937,0.6805734827003702
xgb_tree_d2,9,0.3239915223357299,0.7108490112351253
xgb_tree_d2,10,0.6714238146335059,0.6714238146335059
xgb_tree_d3,3,-0.0667486354479998,0.3368678352744918
xgb_tree_d3,4,-0.0574389522273944,0.5729308567401676
xgb_tree_d3,5,-0.0539559624016903,0.8003965205596528
xgb_tree_d3,6,0.0278500189125676,0.9722311796065216
xgb_tree_d3,7,0.1800150168778835,1.148993842392824
xgb_tree_d3,8,0.3931664236981045,1.2890169091872123
xgb_tree_d3,9,0.8304782358475276,1.366542315667934
xgb_tree_d3,10,1.3512672118451183,1.3512672118451183
