model_level,pc_n,global_oof_r2,level_baseline_r2,original_best_model_r2
OLS,1,0.2098929263129862,0.2183055651139089,0.251077033957071
OLS,2,0.2187115846964219,0.2183055651139089,0.251077033957071
OLS,3,0.2072904219557232,0.2183055651139089,0.251077033957071
OLS,4,0.2074398854539189,0.2183055651139089,0.251077033957071
OLS,5,0.2006710584158945,0.2183055651139089,0.251077033957071
OLS,6,0.2001825516464541,0.2183055651139089,0.251077033957071
OLS,7,0.1919670098155882,0.2183055651139089,0.251077033957071
OLS,8,0.1550843241956893,0.2183055651139089,0.251077033957071
OLS,9,0.1144196186044483,0.2183055651139089,0.251077033957071
OLS,10,0.0923291995136115,0.2183055651139089,0.251077033957071
d1,1,0.2338305845468524,0.2371298734545769,0.2471245862176978
d1,2,0.2227566541307829,0.2371298734545769,0.2471245862176978
d1,3,0.229014046981684,0.2371298734545769,0.2471245862176978
d1,4,0.2312578684910121,0.2371298734545769,0.2471245862176978
d1,5,0.2348926592184541,0.2371298734545769,0.2471245862176978
d1,6,0.2355307922734083,0.2371298734545769,0.2471245862176978
d1,7,0.2378655142601313,0.2371298734545769,0.2471245862176978
d1,8,0.2414202047863578,0.2371298734545769,0.2471245862176978
d1,9,0.2346480639318862,0.2371298734545769,0.2471245862176978
d1,10,0.2417640491997207,0.2371298734545769,0.2471245862176978
d2,1,0.245125064533683,0.2369244826572131,0.2649521423681267
d2,2,0.2430269553895732,0.2369244826572131,0.2649521423681267
d2,3,0.2459618926932623,0.2369244826572131,0.2649521423681267
d2,4,0.2402091184232441,0.2369244826572131,0.2649521423681267
d2,5,0.2422648334992458,0.2369244826572131,0.2649521423681267
d2,6,0.2561929767923649,0.2369244826572131,0.2649521423681267
d2,7,0.2511763441900202,0.2369244826572131,0.2649521423681267
d2,8,0.2433975846064651,0.2369244826572131,0.2649521423681267
d2,9,0.2382731897372711,0.2369244826572131,0.2649521423681267
d2,10,0.2473047158869914,0.2369244826572131,0.2649521423681267
d3,1,0.247505966149465,0.2431734726685518,0.2705518961561199
d3,2,0.2458738216738296,0.2431734726685518,0.2705518961561199
d3,3,0.2457596036613893,0.2431734726685518,0.2705518961561199
d3,4,0.2501971034236562,0.2431734726685518,0.2705518961561199
d3,5,0.2394512234368747,0.2431734726685518,0.2705518961561199
d3,6,0.2537465493252714,0.2431734726685518,0.2705518961561199
d3,7,0.2551179141528596,0.2431734726685518,0.2705518961561199
d3,8,0.2362273765581467,0.2431734726685518,0.2705518961561199
d3,9,0.2471398134373327,0.2431734726685518,0.2705518961561199
d3,10,0.2605409139708581,0.2431734726685518,0.2705518961561199
