pc_n,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.5056427084766836,0.5056427084766836
2,0.1695121287923048,0.6751548372689884
3,0.0702657941388444,0.7454206314078329
4,0.054720905283545,0.8001415366913779
5,0.0356315133683652,0.8357730500597431
6,0.0336406147836511,0.8694136648433942
7,0.0216000115108463,0.8910136763542406
8,0.0198205795569493,0.91083425591119
9,0.0165063640955727,0.9273406200067628
10,0.0122245794956416,0.9395651995024042
