pc_n,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.4959219208462528,0.4959219208462528
2,0.184910286543777,0.6808322073900299
3,0.0854434822062785,0.7662756895963084
4,0.0572254575051253,0.8235011471014337
5,0.0403071837500463,0.86380833085148
6,0.0302075998911914,0.8940159307426714
7,0.019073402757255,0.9130893334999264
8,0.015864383751936,0.9289537172518624
9,0.0119375540253738,0.9408912712772364
10,0.0102495718532633,0.9511408431304996
