model_level,baseline_r2,best_single_r2,best_synergy_r2,best_redundancy_r2
OLS,-0.0089554744555204,0.0034928478191086,0.0031209498881403,0.0058516325386588
d1,0.0029325675765226,0.0203516444966748,0.0224217419526809,0.0125300232571755
d2,-0.0222509423019581,0.026041118537752,0.0321730472396359,0.0177053229680316
d3,-0.0085590794459475,0.0280956662337218,0.0462144767898404,0.0296693736743658
