model_level,baseline_r2,best_single_r2,best_synergy_r2,best_redundancy_r2
OLS,-0.0034151520889031,0.0060094001012932,0.0109908246431958,-0.0009268845376566
d1,-0.0047014506075333,0.0192173396461187,0.0204036086782378,0.0168459720726715
d2,-0.0358773703580177,0.0355132616607877,0.0263176593096885,0.032084257740591
d3,-0.0339750985376532,0.0447574097148893,0.0498154764067093,0.0347099452853033
