objective,term,coef,se,ci_lo,ci_hi,p_value,n_obs,n_countries
o_min,age_z,0.8232098761588073,0.0865659858824539,0.6535436615429947,0.9928760907746198,1.913550546734318e-21,9441,16
o_min,sex__Male,-0.1429492198604673,0.1432992358277328,-0.4238105610949355,0.1379121213740008,0.3184940040751709,9441,16
o_min,diagnosis__AD,-2.236787454349145,0.2531563740508405,-2.732964829945543,-1.740610078752747,9.956595935900778e-19,9441,16
o_min,diagnosis__FTD,-4.362460534508836,0.2829184232438149,-4.916970454629572,-3.807950614388099,1.21038441880128e-53,9441,16
o_min,log_n_country_z,-0.1096241964387745,0.466469572259071,-1.023887757950358,0.8046393650728089,0.8142023323096121,9441,16
o_min,bag_sd_z,0.3541011693754847,0.4415456500024165,-0.5113124021595796,1.219514740910549,0.422577118863952,9441,16
o_min,dataset_heterogeneity_z,-0.0969227020734282,0.4860283193336868,-1.049520703433987,0.8556752992871304,0.841935931452247,9441,16
o_max,age_z,0.6410109056480672,0.0859360879412207,0.4725792683110076,0.8094425429851267,8.707677075206709e-14,9441,16
o_max,sex__Male,-0.020133226546117,0.1421547002250177,-0.2987513192202397,0.2584848661280056,0.8873730674311074,9441,16
o_max,diagnosis__AD,-1.733842926622006,0.251127911383032,-2.226044588445514,-1.241641264798496,5.047919867524249e-12,9441,16
o_max,diagnosis__FTD,-3.189567986462965,0.2807200197164121,-3.739769114846507,-2.639366858079424,6.457596425801989e-30,9441,16
o_max,log_n_country_z,0.1147394648789952,0.4720660162075856,-0.8104929252131741,1.039971854971164,0.8079603960586773,9441,16
o_max,bag_sd_z,-0.117003071525985,0.4468919765118251,-0.9928952504690822,0.758889107417112,0.7934639900078723,9441,16
o_max,dataset_heterogeneity_z,0.0829034057964201,0.4923322545037003,-0.8820500814582403,1.04785689305108,0.8662771497573032,9441,16
