objective,term,coef,se,ci_lo,ci_hi,p_value,n_obs,n_countries
o_min,age_z,-0.1122811629992645,0.0748982107327893,-0.259078958542023,0.0345166325434939,0.1338433443895984,10847,22
o_min,sex__Male,0.0780035779972601,0.1170145332142529,-0.1513406927704416,0.3073478487649618,0.5050184405350391,10847,22
o_min,diagnosis__AD,-0.8487380702433382,0.1791776000388979,-1.199919713155901,-0.4975564273307757,2.170617883857222e-06,10847,22
o_min,diagnosis__FTD,-0.6353581185498879,0.2184174564399529,-1.063448466767042,-0.2072677703327339,0.0036268384360554,10847,22
o_min,log_n_country_z,0.130373389511524,0.2737317920899555,-0.4061310644083948,0.6668778434314429,0.6338738409033887,10847,22
o_min,bag_sd_z,0.418233103028288,0.1911350149733532,0.0436153574959917,0.7928508485605843,0.0286582892199211,10847,22
o_min,dataset_heterogeneity_z,0.1901872765530921,0.2539796669159025,-0.307603723407556,0.6879782765137403,0.4539604288280159,10847,22
o_max,age_z,0.0554178331881487,0.0751782458572558,-0.0919288211129701,0.2027644874892676,0.4610296050239112,10847,22
o_max,sex__Male,-0.1682375546054401,0.1168959759477242,-0.39734945740064,0.0608743481897597,0.1500917669977111,10847,22
o_max,diagnosis__AD,-1.396808269350697,0.1794842434985893,-1.74859092240035,-1.045025616301045,7.119251443395648e-15,10847,22
o_max,diagnosis__FTD,-1.321030796441565,0.2186323123226844,-1.749542254450739,-0.8925193384323907,1.519809911336181e-09,10847,22
o_max,log_n_country_z,0.0698813665762517,0.2857993386061211,-0.4902750438971135,0.630037777049617,0.8068343128578643,10847,22
o_max,bag_sd_z,0.4120761103523295,0.2020426141367392,0.0160798633019974,0.8080723574026616,0.0413951186797794,10847,22
o_max,dataset_heterogeneity_z,0.366119390087462,0.2697249377586636,-0.1625317736518263,0.8947705538267503,0.1746603183141767,10847,22
