objective,residual
o_min,1.610244438363526
o_min,2.001004703932739
o_min,3.15245044327417
o_min,-1.282375197476562
o_min,4.935751034009277
o_min,-0.6263249274765625
o_min,-2.623251797500854
o_min,-6.250062816088073
o_min,-9.411202594088074
o_min,-0.5051580209907227
o_min,-11.91340032484009
o_min,-13.09474618847656
o_min,-1.443568955990722
o_min,4.103586746528322
o_min,-3.806779805476562
o_min,-2.321961103500854
o_min,-9.184884558375549
o_min,-5.898154016476562
o_min,-4.915543035840088
o_min,-6.330524341840088
o_min,-17.82611601308808
o_min,0.1375003380092772
o_min,-20.29996331484009
o_min,-10.54987684347656
o_min,4.244887980753021
o_min,-3.65681488284497
o_min,-15.80087179308807
o_min,-6.040183248088073
o_min,-4.283455680990722
o_min,-14.24035393837555
o_min,-4.148664437990723
o_min,-0.4373394239907227
o_min,-2.026772501990723
o_min,-7.309467668375549
o_min,-1.539744822990723
o_min,2.474290901685181
o_min,-9.862948245476565
o_min,-7.22367947884497
o_min,-4.528428687476563
o_min,-1.004278696990723
o_min,-11.99677423837555
o_min,-10.84144435837555
o_min,-8.52757873184497
o_min,-4.018083286990723
o_min,0.6208864240092775
o_min,-3.025404917476563
o_min,7.420466194606934
o_min,-3.224722830476562
o_min,-2.862952597990723
o_min,-1.017714511476562
o_min,0.0362443531550293
o_min,-7.996150485840088
o_min,-5.157261997088074
o_min,-5.148900139840088
o_min,-3.520270521476562
o_min,-4.395967544990723
o_min,-2.991555911476562
o_min,1.395151914606934
o_min,-14.08606965484009
o_min,-1.562974400476563
o_min,-4.811249037476562
o_min,3.407905266009277
o_min,-6.380472564476563
o_min,-5.128474478844971
o_min,-12.22976565837555
o_min,-0.1031019199907228
o_min,-2.168563256476562
o_min,-2.588453117990722
o_min,10.22074127763794
o_min,-6.402497503476562
o_min,-11.57269578847656
o_min,-8.177496589375549
o_min,-1.975308576990722
o_min,-8.239689250500854
o_min,-10.81510124599072
o_min,-11.74507541847656
o_min,-6.361730655840088
o_min,0.6282150500092771
o_min,-4.472508131476562
o_min,-2.291138576993286
o_min,-3.094403293476562
o_min,-1.011950353844971
o_min,-7.836854870840088
o_min,2.617204576155029
o_min,2.389323925237305
o_min,-4.064636010134766
o_min,7.690050044873047
o_min,6.022195173993531
o_min,-5.511402952266357
o_min,4.569518690733643
o_min,0.2019069153831787
o_min,-0.34438666355957
o_min,4.676443057567139
o_min,-6.474659487432861
o_min,-4.321671762113281
o_min,3.951477893388672
o_min,0.2426874345869141
