bag,order_cap,rung_id,best_syn_r2,best_red_r2,baseline_r2
functional,5,xgb_tree_d3,0.4676298826452369,0.458558210972793,0.4441201917999856
functional,6,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,7,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,8,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,9,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,10,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,11,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,12,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,13,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,14,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,15,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,16,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,17,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,18,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,19,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,20,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,21,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,22,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,23,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,24,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,25,xgb_tree_d3,0.4676298826452369,0.4629885244465332,0.4441201917999856
functional,26,xgb_tree_d3,0.4790689455082859,0.4683543728059189,0.4441201917999856
functional,27,xgb_tree_d3,0.4790689455082859,0.4683543728059189,0.4441201917999856
functional,28,xgb_tree_d3,0.4790689455082859,0.4683543728059189,0.4441201917999856
functional,29,xgb_tree_d3,0.4790689455082859,0.4683543728059189,0.4441201917999856
functional,30,xgb_tree_d3,0.4790689455082859,0.4683543728059189,0.4441201917999856
structural,5,xgb_tree_d3,0.2672793144259797,0.250185305001791,0.2431734726685518
structural,6,xgb_tree_d3,0.2672793144259797,0.250185305001791,0.2431734726685518
structural,7,xgb_tree_d3,0.2672793144259797,0.250185305001791,0.2431734726685518
structural,8,xgb_tree_d3,0.2672793144259797,0.250185305001791,0.2431734726685518
structural,9,xgb_tree_d3,0.2672793144259797,0.250185305001791,0.2431734726685518
structural,10,xgb_tree_d3,0.2672793144259797,0.2537927068719101,0.2431734726685518
structural,11,xgb_tree_d3,0.2672793144259797,0.2537927068719101,0.2431734726685518
structural,12,xgb_tree_d3,0.2672793144259797,0.2537927068719101,0.2431734726685518
structural,13,xgb_tree_d3,0.2672793144259797,0.2537927068719101,0.2431734726685518
structural,14,xgb_tree_d3,0.2672793144259797,0.2537927068719101,0.2431734726685518
structural,15,xgb_tree_d3,0.2672793144259797,0.2566388855951405,0.2431734726685518
structural,16,xgb_tree_d3,0.2672793144259797,0.2566388855951405,0.2431734726685518
structural,17,xgb_tree_d3,0.2672793144259797,0.2571708891331744,0.2431734726685518
structural,18,xgb_tree_d3,0.2672793144259797,0.2571708891331744,0.2431734726685518
structural,19,xgb_tree_d3,0.2672793144259797,0.2571708891331744,0.2431734726685518
structural,20,xgb_tree_d3,0.2672793144259797,0.2571708891331744,0.2431734726685518
structural,21,xgb_tree_d3,0.2672793144259797,0.2584677560746566,0.2431734726685518
structural,22,xgb_tree_d3,0.2672793144259797,0.2584677560746566,0.2431734726685518
structural,23,xgb_tree_d3,0.2672793144259797,0.2627362077025093,0.2431734726685518
structural,24,xgb_tree_d3,0.2672793144259797,0.2627362077025093,0.2431734726685518
structural,25,xgb_tree_d3,0.2672793144259797,0.2627362077025093,0.2431734726685518
structural,26,xgb_tree_d3,0.2672793144259797,0.2627362077025093,0.2431734726685518
structural,27,xgb_tree_d3,0.2672793144259797,0.2642733064973639,0.2431734726685518
structural,28,xgb_tree_d3,0.2672793144259797,0.2668202796255392,0.2431734726685518
structural,29,xgb_tree_d3,0.2672793144259797,0.2705518961561199,0.2431734726685518
structural,30,xgb_tree_d3,0.2672793144259797,0.2705518961561199,0.2431734726685518
