pc_n,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.4601489251987549,0.4601489251987549
2,0.1569870966519936,0.6171360218507486
3,0.081221375921571,0.6983573977723196
4,0.0483120336150644,0.7466694313873841
5,0.0432959444350695,0.7899653758224536
6,0.028970759256036,0.8189361350784896
7,0.0277587362690091,0.8466948713474988
8,0.0246499196007725,0.8713447909482712
9,0.0175378574394335,0.8888826483877048
10,0.0165556388650279,0.9054382872527328
